TIME,RECV,XMIT
4,0,0
107,0,0
210,0,0
313,0,0
416,0,0
519,0,0
622,0,0
725,0,0
829,0,0
932,0,0
1035,0,0
1138,0,0
1241,757332,53233556
1344,2112588,146959700
1447,3363004,232652704
1550,4621048,318990788
1653,5881756,405618836
1757,7134588,491851580
1860,8368760,576874512
1963,9616572,662264520
2066,10795440,743362656
2170,11981688,824834376
2273,13173264,906750280
2376,14374328,989354688
2479,15560576,1071050132
2582,16735228,1151794224
2686,41850320,1227611672
2789,109154024,1296749540
2892,176447664,1365898168
2994,243743164,1434525760
3097,311275468,1503745520
3200,378751688,1572756124
3303,446813000,1643053780
3406,515899364,1714331736
3509,585865944,1784909268
3612,655519036,1855609124
3715,725834120,1927100072
3818,795209492,1997634264
3921,864747408,2068120800
4024,934355924,2138716864
4127,1004012520,2209526856
4230,1073769828,2280300008
4332,1166165832,2297268036
4435,1265806032,2298969148
4538,1365768176,2300675588
4641,1465746580,2302381656
4744,1564726616,2304070264
4847,1663846496,2305761904
4950,1763407560,2307462128
5053,1862719304,2309156800
5156,1962044056,2310850956
5259,2061583440,2312550588
5362,2159693028,2314224764
5464,2257051836,2315916324
5567,2306470312,2316746456
