RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.69,0.13,0:03.83,0,104760,0,0
90,3.67,0.22,0:03.90,5157,121360,26596,16864
80,3.66,0.30,0:03.97,4140,156840,63150,54574
70,3.70,0.35,0:04.06,4749,172424,74475,72606
60,3.68,0.36,0:04.05,4003,178067,75494,78453
50,3.78,0.50,0:04.30,15124,196043,91123,91040
40,4.03,1.18,0:05.22,66318,423488,234137,223856
30,4.44,1.85,0:06.31,19847,1270269,650848,671218
20,4.45,2.05,0:06.51,32558,1295365,681904,742050
10,4.68,3.99,0:08.72,37756,2625880,1281383,1542933
5,4.74,3.96,0:08.73,36711,2629285,1282971,1613575
