RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME,LOCK_MINPF_HIT,LOCK_MINPF_TIME,LOCK_MINPF_S2
100,0,100777,76085.01,2931.708,,,,,,,6173.434,,,
100,1,1267,1640.796,2.686,,,,,,,,,,
100,2,338,549.450,1.366,,,,,,,,,,
100,3,787,1014.001,2.565,,,,,,,,,,
100,4,644,821.069,3.887,,,,,,,,,,
90,0,141899,196723.1,1325033,1044,11638.50,429.310,1,16041.12,0.000,34429.66,49068,42381.06,23129.81
90,1,1028,1273.269,2.006,,,,,,,,,,
90,2,355,619.088,1.663,,,,,,,,,,
90,3,1475,1707.528,1.359,,,,,,,,,,
90,4,1049,1538.002,4.293,9,72.193,5.634,,,,,16,5.637,1.463
80,0,157729,250583.3,438903.7,4274,41764.57,2695.100,2,41281.15,42500383,41879.76,61611,46690.81,32753.09
80,1,3587,3636.166,15.036,,,,,,,,,,
80,2,550,847.955,2.118,,,,,,,,,,
80,3,2414,3102.832,12.162,,,,,,,,,,
80,4,1287,1625.215,1.206,,,,,,,,,,
70,0,167450,267549.5,501053.9,4332,39119.39,1430.422,3,54400.12,5364478,50933.94,71283,44081.83,449410.6
70,1,1305,2023.650,6.214,34,274.432,22.482,,,,,34,1.524,0.000
70,2,705,1022.309,3.956,,,,,,,,,,
70,3,1500,2007.410,2.900,8,58.077,1.442,,,,,8,0.296,0.000
70,4,525,516.008,3.281,1,15.875,0.000,,,,,1,0.059,0.000
60,0,178459,292333.3,4094505,6516,49757.89,270.683,4,64337.31,3045598,55316.86,79919,46250.89,487207.7
60,1,2190,2853.768,15.397,,,,,,,,,,
60,2,390,714.010,6.439,8,97.290,83.570,,,,,8,0.327,0.000
60,3,2068,2714.404,1.760,,,,,,,,,,
60,4,1131,1478.245,2.769,,,,,,,,,,
50,0,242050,563215.3,6859795,32040,280023.3,1504040,4,55499.04,1210173,60208.78,113644,47265.22,58066.55
50,1,3950,4229.017,35.362,,,,,,,,,,
50,2,729,1019.488,1.843,,,,,,,,,,
50,3,2495,3135.348,4.299,,,,,,,,,,
50,4,1406,1856.260,2.680,,,,,,,,,,
40,0,1116206,1567838,5008929,16405,197046.8,25803.10,4,69765.51,8749370,413941.7,597217,164873.8,5116596
40,1,2059,2966.890,2.100,,,,,,,,,,
40,2,1112,1441.304,1.856,,,,,,,,,,
40,3,3813,5002.465,14.740,,,,,,,,,,
40,4,2044,2457.799,1.489,2,19.419,10.174,,,,,2,0.113,0.000
30,0,1382430,1948369,8428876,3016,94032.17,19254.76,4,64515.04,21174145,562920.5,772568,277105.3,2943015
30,1,1871,2476.062,3.016,,,,,,,,,,
30,2,621,1068.757,4.207,,,,,,,,,,
30,3,2967,4009.880,83.869,,,,,,,,,,
30,4,893,1204.526,2.000,1,103.309,0.000,,,,,1,0.063,0.000
20,0,1382776,1869987,15310903,33,2169.239,7684.881,4,65281.08,851414.5,564287.1,778399,305604.0,19496518
20,1,2155,2754.635,25.931,,,,,,,,,,
20,2,640,1045.873,2.199,,,,,,,,,,
20,3,4119,5749.385,9.681,,,,,,,,,,
20,4,1544,2001.679,1.906,2,166.168,144.330,,,,,2,0.095,0.000
10,0,1392149,1876650,898940.9,2986,38664.86,12853.81,7,67989.96,6027864,569529.3,778956,259205.0,26685268
10,1,2235,2834.515,10.745,,,,,,,,,,
10,2,581,1254.988,2.883,16,113.644,3.411,,,,,16,0.607,0.000
10,3,2015,2919.711,2.390,,,,,,,,,,
10,4,1837,2313.733,4.149,10,121.408,101.150,,,,,10,0.423,0.000
5,0,1893627,3173798,33607618,81726,782138.0,1672284,28,66581.05,346410.7,796859.1,1217634,259882.2,141441675
5,1,1421,1852.454,1.958,,,,,,,,,,
5,2,348,773.346,2.578,,,,,,,,,,
5,3,5330,7880.014,26.752,,,,,,,,,,
5,4,2463,3012.746,7.552,2,62.243,7.231,,,,,2,0.110,0.000
