RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME,LOCK_MINPF_HIT,LOCK_MINPF_TIME,LOCK_MINPF_S2
100,0,786619,2650598,2599201,216739,2082039,1823314,,,,49013.44,262154,9848.477,3439.317
100,1,1630,2262.712,2.842,,,,,,,,,,
100,2,867,1277.986,3.123,,,,,,,,,,
100,3,2582,3770.535,7.033,9,72.612,2.634,,,,,9,0.505,0.000
100,4,1853,2396.296,3.049,,,,,,,,,,
90,0,786598,1210334,6311434,42,1165.253,516.958,,,,215174.7,314861,378115.0,4590081
90,1,914,1156.238,2.371,,,,,,,,,,
90,2,297,542.643,3.040,,,,,,,,,,
90,3,624,828.342,1.292,,,,,,,,,,
90,4,354,446.164,2.865,,,,,,,,,,
80,0,786560,1261604,5536306,8,94.588,93.232,,,,224960.0,324671,407479.7,859857.5
80,1,1222,1759.702,4.591,30,220.442,7.462,,,,,30,1.169,0.000
80,2,643,977.719,2.676,,,,,,,,,,
80,3,1140,1752.027,4.168,9,71.888,2.509,,,,,10,0.551,0.000
80,4,689,884.604,2.162,,,,,,,,,,
70,0,786699,1278779,6114682,12,195.749,308.095,,,,225194.2,324291,412812.7,1671928
70,1,1704,2270.689,1.696,,,,,,,,,,
70,2,792,1068.812,3.022,,,,,,,,,,
70,3,2330,3273.184,10.987,,,,,,,,,,
70,4,992,1204.295,1.738,8,61.761,2.900,,,,,8,0.334,0.000
60,0,998661,1989380,12458504,2263,33522.23,1176.125,,,,359611.6,616176,773296.4,5962258
60,1,2122,2704.827,54.003,,,,,,,,,,
60,2,520,914.732,4.421,8,60.521,3.042,,,,,8,0.345,0.000
60,3,1321,2152.428,4.490,16,116.843,5.330,,,,,16,0.557,0.000
60,4,1346,1663.379,1.898,,,,,,,,,,
50,0,1049030,2095325,8362798,179,2570.679,101.219,,,,384480.6,692764,851236.6,5617683
50,1,529,729.258,2.962,,,,,,,,,,
50,2,436,708.382,1.034,,,,,,,,,,
50,3,2784,4116.234,3.822,,,,,,,,,,
50,4,2263,2578.859,7.680,,,,,,,,,,
40,0,1048780,2062798,8561943,78,2243.710,645.121,,,,383776.1,698854,818154.0,2748540
40,1,2064,2793.296,1.894,,,,,,,,,,
40,2,919,1263.515,3.617,,,,,,,,,,
40,3,2704,4034.694,6.434,16,121.555,5.632,,,,,16,0.793,0.000
40,4,1861,2384.627,1.997,,,,,,,,,,
30,0,1048653,2018679,7884893,20,360.376,103.325,,,,385720.3,695241,775811.1,1534142
30,1,1695,2099.294,0.910,,,,,,,,,,
30,2,637,969.093,2.215,,,,,,,,,,
30,3,3656,4562.035,193.442,,,,,,,,,,
30,4,1975,2424.817,1.203,,,,,,,,,,
20,0,1048933,1983718,21011683,17,238.816,112.935,,,,383537.4,698074,743799.6,1113102
20,1,1071,1342.974,2.127,,,,,,,,,,
20,2,527,863.040,2.534,,,,,,,,,,
20,3,1125,1626.107,2.084,,,,,,,,,,
20,4,4320,4892.090,101.131,,,,,,,,,,
10,0,1048653,1936600,4409687,20,390.167,674.153,,,,380155.5,696324,696835.6,877284.6
10,1,2035,2615.269,2.053,,,,,,,,,,
10,2,1126,1637.667,3.272,,,,,,,,,,
10,3,2687,4072.588,5.033,,,,,,,,,,
10,4,1033,1234.181,1.855,,,,,,,,,,
5,0,1048725,1918710,2306641,20,440.455,2107.168,,,,374619.5,700189,684285.0,1170937
5,1,1190,1500.686,1.753,,,,,,,,,,
5,2,298,584.484,2.835,,,,,,,,,,
5,3,4579,5586.183,44.973,,,,,,,,,,
5,4,2439,3605.896,12.275,32,231.923,7.919,,,,,32,1.225,0.000
