TIME,RECV,XMIT
4,0,0
107,0,0
210,893916,61967160
313,2440604,139032776
417,3575948,217068392
520,5371700,317091740
623,28993076,432771616
727,107634468,492206052
830,185563776,556712800
933,263623480,620417452
1036,341463872,683754328
1139,434967676,754447364
1242,520393448,808873688
1345,599198172,872373116
1449,677084808,934763676
1552,755861900,1000038344
1655,844747080,1068324704
1758,919251448,1126792176
1861,997162668,1191884724
1964,1076257432,1255073508
2067,1154978240,1319255048
2170,1255704316,1383259404
2274,1333013856,1443393900
2377,1413005376,1506713052
2480,1489889604,1570624452
2583,1573569268,1638278548
2686,1656047084,1699214388
2789,1732635592,1761969088
2893,1811050728,1825942392
2996,1889089000,1889036724
3099,1984908236,1959625724
3202,2066847200,2013955084
3305,2145052900,2076452092
3408,2221289640,2139197208
3512,2299529088,2203597764
3615,2386713328,2270648796
3718,2460917900,2329410724
3821,2539343088,2394165616
3925,2618643824,2457379360
4028,2701076132,2524082240
4131,2799051060,2585026212
4234,2875347184,2645593168
4337,2953609752,2708681652
4440,3031372852,2771459544
4544,3115365152,2840864712
4647,3195468124,2899957704
4750,3271374916,2962348428
4853,3349717024,3026830948
4956,3427856012,3089567832
5059,3522274040,3158706100
5163,3605566760,3213369008
5266,3684365556,3276474456
5369,3762587776,3339766088
5472,3840383160,3403592444
5575,3929224576,3472538948
5678,4005751156,3532643544
5782,4082462968,3596631148
5885,4159822216,3659212164
5988,4240905960,3725270320
6091,4339790916,3786812888
6194,4417369512,3847847780
6297,4495265000,3910580276
6401,4570865100,3972672704
6504,4653987452,4042450124
6607,4732893748,4100529308
6710,4807627028,4162688012
6814,4885714880,4226679356
6917,4963936128,4290021964
7020,5061093896,4361274448
7123,5144093420,4415582028
7226,5222799592,4479596320
7329,5300524152,4542030396
7433,5378169976,4606376600
7536,5466842176,4673861244
7639,5542519512,4734168976
7742,5620582268,4798090940
7845,5698651264,4861186828
7948,5781467772,4928043136
8052,5878174584,4987508632
8155,5955834696,5048910908
8258,6034787272,5112089200
8361,6110984628,5173958148
8464,6173489476,5226782052
8567,6222702380,5246855480
8670,6277766328,5247795356
