TIME,RECV,XMIT
5,0,0
108,0,0
211,0,0
314,0,0
417,0,0
520,0,0
623,0,0
726,0,0
829,0,0
933,0,0
1036,0,0
1139,0,0
1242,0,0
1345,0,0
1448,0,0
1551,0,0
1654,0,0
1758,0,0
1861,0,0
1964,0,0
2067,0,0
2170,0,0
2273,0,0
2377,0,0
2480,0,0
2583,0,0
2686,0,0
2789,0,0
2892,0,0
2995,0,0
3098,0,0
3201,0,0
3304,0,0
3407,0,0
3510,0,0
3613,0,0
3717,0,0
3820,0,0
3923,0,0
4026,0,0
4129,0,0
4232,0,0
4336,0,0
4439,0,0
4542,0,0
4645,0,0
4748,527120,36589588
4852,1177688,81263284
4955,1793776,124281988
5058,2252080,155350276
5161,2376448,158622568
5264,3469872,232796516
5368,4175804,281983628
5471,4874356,330076052
5574,5548236,376196300
5677,7525404,415568596
5781,15701096,465442312
5884,28527592,511543024
5987,44330364,566447472
6091,64001564,618745404
6194,88003020,663196568
6297,118606936,697978096
6400,148401300,731280820
6504,205007780,732246888
6607,219277556,732493828
6710,227975572,732642420
6813,245250560,756729932
6917,246977012,874799852
7020,250704264,1001149652
7123,338802372,1007070244
