TIME,RECV,XMIT
4,0,0
107,0,0
210,0,0
313,0,0
416,0,0
519,0,0
622,0,0
725,0,0
828,0,0
932,0,0
1035,0,0
1138,0,0
1241,0,0
1344,0,0
1447,0,0
1550,0,0
1654,0,0
1757,0,0
1860,0,0
1963,0,0
2066,0,0
2169,0,0
2272,992868,69499656
2376,2288480,158716728
2479,3551420,245561976
2582,72595996,340538176
2686,165464724,438792028
2789,258513556,537808972
2892,352032508,636884480
2996,445607144,735679860
3099,538862148,834825520
3202,632636176,934049140
3306,725982276,1032604520
3409,819131076,1131540076
3513,912749544,1230875800
3616,1006225036,1329728380
3719,1074918204,1402086864
