RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME,LOCK_MINPF_HIT,LOCK_MINPF_TIME,LOCK_MINPF_S2
100,0,99694,74218.31,10270.22,,,,,,,6098.836,,,
100,1,1318,2343.953,399.631,,,,,,,1180.504,,,
100,2,256,483.415,0.568,,,,,,,,,,
100,3,164,196.529,1.747,,,,,,,,,,
100,4,1929,2268.803,8.136,,,,,,,,,,
90,0,115857,155991.2,334814.0,144,4968.896,2997.729,1,16236.72,0.000,26079.69,22546,34743.72,4701.860
90,1,26363,108043.2,21595.81,932,7660.687,27.590,,,,23011.91,32491,46985.70,8257.166
90,2,380,566.353,1.944,,,,,,,,,,
90,3,1507,2186.761,2.825,,,,,,,,,,
90,4,752,860.179,1.221,1,11.162,0.000,,,,,1,0.049,0.000
80,0,121137,167557.6,156753.1,271,5581.099,1736.034,2,34440.40,7866370,30439.89,27507,34182.00,13214.98
80,1,34125,128317.8,203902.3,2261,21460.00,413.327,,,,26103.52,37417,45964.34,8325.435
80,2,300,457.575,4.004,,,,,,,,,,
80,3,922,1135.391,2.554,,,,,,,,,,
80,4,2469,2950.892,26.914,9,76.481,5.595,,,,,9,0.428,0.000
70,0,126881,167131.9,355068.2,118,2600.839,1952.841,4,70695.30,7027422,33582.23,32046,28628.71,29255.14
70,1,39523,142653.5,50672.85,3307,28181.86,171.167,,,,28412.83,42343,47640.73,30280.46
70,2,360,561.316,0.499,,,,,,,,,,
70,3,920,1156.319,1.619,,,,,,,,,,
70,4,405,374.716,0.486,,,,,,,,,,
60,0,129705,172408.0,104929.1,70,3394.289,5911.330,4,64336.19,18210574,36094.11,34525,26156.52,5097.280
60,1,47508,158970.9,86404.65,5043,38973.72,195.569,,,,30779.73,47746,45490.37,16830.53
60,2,408,606.575,1.263,,,,,,,,,,
60,3,2246,2522.478,51.104,,,,,,,,,,
60,4,1201,1943.274,39.953,1,12.912,0.000,,,,,2,0.113,0.000
50,0,166226,327869.8,636556.3,14625,133404.4,5909.684,4,56750.14,6340899,40043.02,52453,24333.88,9720.177
50,1,82031,299139.0,151465.7,18182,156136.9,3776.429,,,,36065.11,66135,43035.60,59626.71
50,2,374,724.893,5.812,16,127.865,11.196,,,,,16,0.698,0.000
50,3,1430,1841.684,1.934,,,,,,,,,,
50,4,357,506.723,4.117,2,47.022,1.226,,,,,2,0.100,0.000
40,0,646805,844256.9,21124228,2516,45411.47,1397.177,3,61283.33,7593816,275517.8,308633,33580.41,430434.6
40,1,469223,727035.1,6268673,2147,42960.88,5334.721,,,,245018.3,277698,70912.69,98566.01
40,2,888,1306.491,2.076,,,,,,,,,,
40,3,3411,5099.653,8.586,,,,,,,,,,
40,4,1807,2426.634,3.112,11,90.469,3.211,,,,,11,0.576,0.000
30,0,744126,1108634,6815794,3403,81939.71,2086.784,5,71830.13,2683422,365928.6,377610,66895.59,1099244
30,1,609966,967138.1,6917639,2494,61875.00,1308.318,,,,350630.7,348855,66573.66,285441.7
30,2,2044,2925.332,2.374,,,,,,,,,,
30,3,3129,5020.708,25.069,16,120.074,1.720,,,,,16,1.049,0.000
30,4,1845,2249.714,1.431,1,33.050,0.000,,,,,1,0.048,0.000
20,0,750882,1145347,209286.6,226,6383.028,2435.315,4,73731.94,8153440,408519.7,389801,86255.55,292206.4
20,1,629974,1000395,4805617,63,1841.546,354.470,,,,388474.5,358703,66793.27,147129.2
20,2,395,668.103,0.641,,,,,,,,,,
20,3,518,668.425,5.314,16,128.345,29.133,,,,,16,0.666,0.000
20,4,3912,4303.565,39.215,2,139.646,2788.103,,,,,2,0.122,0.000
10,0,752974,1195421,281499.9,137,4696.692,4093.275,7,69965.07,3286636,431770.9,393770,87757.54,166603.9
10,1,630199,1047616,4858157,,,,,,,413775.9,358984,66571.91,125801.3
10,2,1065,1442.450,2.220,,,,,,,,,,
10,3,2457,3612.337,4.956,,,,,,,,,,
10,4,1476,1864.996,1.150,2,146.254,7495.287,,,,,2,0.124,0.000
5,0,757335,1316307,4198811,2254,64148.61,10131.86,28,66875.07,364484.5,470322.7,397385,86961.30,163702.9
5,1,633110,1126262,4187126,1516,33386.69,717.410,,,,440011.9,359585,55215.93,408469.0
5,2,702,1144.055,3.863,,,,,,,,,,
5,3,2862,4878.104,59.327,,,,,,,,,,
5,4,2121,2599.173,27.528,12,136.193,98.587,,,,,12,0.608,0.000
