RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.94,0.12,0:01.61,0,100476,0,0
90,4.08,0.34,0:01.78,1285,140571,44721,41729
80,4.12,0.42,0:01.83,2259,151628,57946,52111
70,4.18,0.42,0:01.86,2534,162410,73282,63835
60,4.23,0.44,0:01.89,4593,169553,75692,72824
50,4.82,0.63,0:02.15,26591,208930,106677,101162
40,5.21,2.23,0:02.85,13337,983358,491583,472205
30,5.31,3.20,0:03.27,9943,1335625,685471,736026
20,5.26,3.10,0:03.26,263,1374045,705080,767681
10,5.70,3.08,0:03.41,117,1382598,709339,775095
5,5.96,3.68,0:03.96,3747,1390625,717782,783200
