TIME,RECV,XMIT
4,0,0
107,0,0
210,1171836,81037836
313,2267560,157757220
417,3774148,261631172
520,19594944,344046320
623,47168912,373700352
726,76766664,394101468
829,104285324,425967856
932,136288292,431362620
1035,162060368,470042196
1138,199226748,492741064
1241,237670788,551164576
1345,280828344,569379536
1448,322016012,609029064
1551,362295720,651474240
1654,402186128,674813544
1757,442618468,720139884
1860,483786644,746212212
1963,526094280,783494556
2066,566894480,814446288
2169,609055588,843504372
2273,649929700,877873476
2376,691171132,908982532
2479,732039972,949021228
2582,775218304,982496932
2685,816428112,1017777580
2788,859501732,1049704600
2891,900319964,1083458148
2995,941594260,1117655728
3098,983551516,1149655200
3201,1024789644,1181580336
3304,1066036252,1215502272
3407,1108317264,1249340832
3510,1149294748,1293740336
3613,1190712456,1322002780
3717,1233511596,1353157680
3820,1275140596,1386240612
3923,1316382860,1422052812
4026,1357530312,1450312200
4129,1399843912,1482489788
4232,1440826252,1521411776
4335,1483019520,1554682260
4438,1525103248,1595345784
4542,1569490224,1618786492
4645,1609469824,1657887848
4748,1651016428,1690081592
4851,1692869800,1727082136
4954,1734882340,1756735432
5057,1775997288,1789442088
5161,1817878944,1826848296
5263,1857878564,1864118824
5366,1900586348,1895289028
5469,1943420252,1923292148
5573,1983765316,1961975024
5676,2024868524,1993654184
5779,2067406108,2027283904
5882,2108939992,2057705348
5985,2150038928,2094515284
6088,2193513380,2126528068
6191,2233520276,2168528108
6294,2276465912,2195434476
6397,2318276496,2231178720
6500,2361027244,2261500732
6603,2402315188,2300036840
6706,2443447280,2327204480
6810,2485362320,2361921312
6912,2526968460,2399562112
7016,2569545120,2434812476
7119,2611732488,2471289784
7222,2655394072,2501959752
7325,2696100652,2535473288
7428,2737844220,2564733172
7531,2779038504,2604225112
7634,2820570152,2631544716
7737,2861356720,2669598164
7840,2912680020,2711126060
7944,2964364236,2761355800
8047,3017919316,2799526872
8150,3087126348,2851473828
8253,3170032640,2903648704
