RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.84,0.12,0:03.97,0,104760,-17730800,0
90,3.83,0.41,0:04.24,21497,119960,-17730800,24975
80,3.73,0.72,0:04.45,46503,124638,-17769877,53261
70,3.77,0.76,0:04.53,61669,118871,-17844017,68414
60,3.74,0.86,0:04.61,73097,121977,-17918534,80312
50,3.79,1.06,0:04.86,80818,206404,-18000941,94679
40,4.04,2.06,0:06.19,123721,647726,-18132628,244078
30,4.36,3.53,0:08.23,219191,1088828,-18513395,721070
20,4.21,3.91,0:08.49,230722,1108660,-19180492,753744
10,4.57,7.49,0:12.98,453434,2161192,-19868800,1312719
5,4.60,7.68,0:13.46,457060,2206313,-21134543,1630057
