RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME
100,0,678759,444068.2,345212.9,111,903.443,13.693,,,,
100,1,1672,2045.983,2.379,,,,,,,
100,2,412,733.860,1.285,,,,,,,
100,3,5724,6381.371,95.584,,,,,,,
100,4,2572,3287.864,5.669,,,,,,,
90,0,689431,479811.6,124260.6,1573,12226.63,18.931,,,,
90,1,1301,1772.159,6.222,2,22.772,1.241,,,,
90,2,328,617.586,2.225,,,,,,,
90,3,86,110.778,3.384,,,,,,,
90,4,1596,1877.927,1.746,,,,,,,
80,0,692420,493329.3,277515.2,2004,16186.09,17.514,2,66949.04,186996487,
80,1,2680,3675.274,45.999,,,,,,,
80,2,437,824.169,9.486,5,41.702,3.591,,,,
80,3,1671,1964.478,1.259,,,,,,,
80,4,1791,2224.324,2.278,,,,,,,
70,0,714326,566641.9,504597.1,9110,72977.20,919.772,9,310890.3,182306601,
70,1,1998,2534.903,2.467,,,,,,,
70,2,512,829.375,0.932,,,,,,,
70,3,720,735.150,1.699,,,,,,,
70,4,1527,1880.051,2.242,,,,,,,
60,0,779438,1047090,1312755,53908,504856.9,38707.54,9,319188.9,751467760,
60,1,6618,7601.532,426.957,,,,,,,
60,2,1760,2216.778,1.546,,,,,,,
60,3,2242,2939.565,11.713,,,,,,,
60,4,3239,3990.288,12.080,,,,,,,
50,0,900710,1591721,8985154,102152,955379.2,151986.7,14,406106.4,349158192,
50,1,4040,5501.504,10.301,,,,,,,
50,2,866,1154.351,1.390,,,,,,,
50,3,2716,3277.390,4.660,,,,,,,
50,4,1770,2210.152,2.011,,,,,,,
40,0,1032026,2385374,507531.2,183099,1646910,365862.0,19,618762.0,384628787,
40,1,2983,3722.586,56.448,,,,,,,
40,2,456,873.176,1.703,,,,,,,
40,3,1660,2115.345,1.544,,,,,,,
40,4,1203,1497.377,2.242,,,,,,,
30,0,1161391,3189013,5572125,252563,2276803,612703.4,17,414167.9,381859448,
30,1,1420,1667.736,2.505,,,,,,,
30,2,368,771.558,0.092,,,,,,,
30,3,3812,5336.189,24.805,,,,,,,
30,4,4681,5376.841,71.139,,,,,,,
20,0,1264050,4118287,1839149,335819,3087238,3550165,12,283173.9,184527350,
20,1,4142,5586.901,11.517,,,,,,,
20,2,1432,2084.817,1.967,,,,,,,
20,3,4356,5657.245,20.715,,,,,,,
20,4,3197,4093.458,21.818,1,14.977,0.000,,,,
10,0,1375477,4948080,5927856,414246,3721957,2166433,7,133925.4,88695627,
10,1,7779,8394.089,951.837,,,,,,,
10,2,1442,2306.899,4.206,,,,,,,
10,3,4803,6446.764,30.395,,,,,,,
10,4,3345,4059.587,8.539,,,,,,,
5,0,1446541,5303817,12950673,446498,3944519,10964636,6,125349.8,116788875,
5,1,844,1003.398,1.074,2,22.934,1.605,,,,
5,2,898,1486.410,1.317,,,,,,,
5,3,8210,11003.65,43.809,2,18.240,4.380,,,,
5,4,5162,6293.835,357.072,,,,,,,
