RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.77,0.10,0:02.12,0,100521,-20822772,0
90,3.98,0.39,0:02.43,156,146996,-20822772,45199
80,3.98,0.47,0:02.51,751,165110,-20873473,53700
70,3.95,0.49,0:02.52,94,166395,-20941066,62751
60,4.01,0.45,0:02.53,108,168570,-21011765,68945
50,4.26,0.50,0:02.68,6433,224591,-21082549,79925
40,4.85,1.77,0:03.63,1948,1134390,-21185757,272501
30,4.71,2.56,0:04.11,616,1360048,-21748640,742573
20,4.72,2.48,0:04.10,137,1381884,-22444246,773464
10,4.74,2.52,0:04.12,219,1384216,-23153004,776572
5,5.67,2.58,0:04.64,3483,1392767,-23863009,780556
