RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME
100,0,99004,73969.92,4421.505,,,,,,,6110.025
100,1,779,842.392,1.284,,,,,,,144.941
100,2,782,2010.479,568.215,,,,,,,1291.922
100,3,1764,1799.520,5.390,,,,,,,
100,4,974,1329.232,2.250,,,,,,,
90,0,114768,158527.2,57816.65,73,1067.779,64.910,2,114682.7,1487738006,25073.87
90,1,17126,107733.6,17119.07,22,221.288,4.421,1,86807.59,0.000,22344.95
90,2,15738,106084.7,6424.901,11,111.957,6.666,1,87079.24,0.000,22166.30
90,3,250,349.360,1.622,,,,,,,
90,4,2052,2069.525,5.309,,,,,,,
80,0,119291,168712.8,203075.1,53,593.736,31.567,3,105717.2,248151027,28890.89
80,1,23121,116088.3,17459.06,16,174.904,20.289,1,50760.43,0.000,25766.24
80,2,21889,119605.5,14037.11,459,6074.727,59.604,1,52467.64,0.000,23508.90
80,3,525,618.973,1.620,,,,,,,
80,4,198,263.405,1.787,,,,,,,
70,0,119557,175845.9,2094422,88,937.721,26.398,5,159596.9,87317958,30617.93
70,1,24953,124131.2,10247.06,57,700.129,75.668,,,,28590.26
70,2,21404,119213.1,11824.31,36,763.311,195.736,,,,27000.54
70,3,859,1298.735,3.820,30,275.821,0.632,,,,
70,4,416,521.406,1.476,,,,,,,
60,0,119438,179843.6,130952.1,66,1162.329,110.767,7,150635.4,62079338,31182.65
60,1,25675,124328.8,20856.89,52,952.534,104.171,1,30077.04,0.000,29043.27
60,2,23917,118520.2,48871.99,3,55.974,200.737,1,12052.01,0.000,27353.44
60,3,840,1054.745,2.061,9,88.382,1.893,,,,
60,4,421,519.069,0.416,,,,,,,
50,0,124614,199720.5,129646.0,795,10329.39,71.921,6,118243.1,30053982,33168.37
50,1,25801,132304.4,10607.13,37,483.439,62.013,,,,30515.30
50,2,57123,178274.9,43160.07,2943,33519.73,4282.528,,,,32232.80
50,3,1096,1448.114,2.881,,,,,,,
50,4,861,1150.923,2.435,,,,,,,
40,0,429988,563969.1,682200.5,2232,33729.58,588.663,8,278874.4,269123180,143842.3
40,1,312342,485705.9,1392289,1249,21377.65,95.584,9,389728.3,138903937,139551.2
40,2,332056,502659.1,4472660,1482,27288.85,105.531,8,327652.5,172065513,143131.1
40,3,2077,2956.096,466.620,,,,,,,
40,4,1768,2162.539,1.389,,,,,,,
30,0,535499,1136009,9874054,489,8410.676,156.724,30,948821.1,86416216,309539.7
30,1,419572,1024495,2602239,324,3932.655,109.535,29,970875.1,66381530,292411.6
30,2,404284,1012417,35925777,514,9774.859,205.570,32,1026131,75776360,284538.7
30,3,643,701.215,1.800,,,,,,,
30,4,4188,4267.666,282.936,,,,,,,
20,0,547327,1196432,9639669,636,9146.934,163.967,44,1036474,32194975,322925.7
20,1,422937,1063517,2421680,592,8655.859,138.670,39,940492.3,28363268,297281.4
20,2,425114,1071831,3205789,677,10915.93,161.531,38,912466.7,25633753,302775.2
20,3,2930,4713.874,6.849,38,370.513,6.845,,,,
20,4,2961,3624.026,98.885,3,29.372,1.222,,,,
10,0,638172,2309665,15594561,57966,532007.8,143038.7,67,1586935,7864793,343447.3
10,1,509991,2134579,3241364,51320,479891.1,186695.2,63,1512482,7246776,322574.6
10,2,511836,2117853,3354170,55223,487457.6,1829708,63,1515091,5151643,320539.1
10,3,3952,5573.696,10.701,9,111.074,30.431,,,,
10,4,2515,3096.632,3.832,,,,,,,
5,0,557037,1927118,3849437,3574,42451.15,361.574,11,150996.7,2133240,424235.0
5,1,429510,1784517,12267632,3262,35080.61,514.799,6,82273.63,3414017,385421.0
5,2,430588,1802507,27604976,3911,47322.43,765.382,4,56530.93,4801396,375418.8
5,3,2078,3349.884,615.439,9,99.778,14.535,,,,
5,4,3124,3855.382,11.327,,,,,,,
