RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME
100,0,618209,425336.7,145173.5,453,11035.72,53.322,,,,
100,1,189,214.223,1.524,,,,,,,
100,2,234,381.266,0.655,,,,,,,
100,3,497,515.769,1.569,,,,,,,
100,4,395,510.824,1.716,,,,,,,
90,0,1048848,3330152,5652263,162135,2615237,811821.4,3,117438.8,506856069,
90,1,1825,2178.611,2.083,,,,,,,
90,2,377,705.804,2.462,,,,,,,
90,3,2573,3408.074,6.007,,,,,,,
90,4,910,999.394,1.508,,,,,,,
80,0,1048836,3480966,3723969,192527,2786991,2770520,5,175179.2,166689406,
80,1,2772,3429.977,3.397,,,,,,,
80,2,1208,1706.808,2.805,2,25.132,9.548,,,,
80,3,2963,3912.747,94.281,,,,,,,
80,4,2193,2617.915,17.160,,,,,,,
70,0,1048827,3831632,7347172,242821,3148519,6587299,5,187452.0,249417574,
70,1,1790,2071.780,1.598,1,16.093,0.000,,,,
70,2,1185,1593.302,2.053,,,,,,,
70,3,2789,3535.020,2.875,,,,,,,
70,4,1335,1681.331,2.765,,,,,,,
60,0,1048829,3411358,6412521,192206,2693435,1160886,5,165179.6,72458311,
60,1,5834,6061.324,59.864,12,117.938,7.243,,,,
60,2,2023,2709.506,2.997,,,,,,,
60,3,3421,4391.039,6.590,,,,,,,
60,4,2553,3139.307,6.703,,,,,,,
50,0,1048803,3487829,1176541,225375,2799809,1661134,13,556233.4,502716116,
50,1,1351,1610.177,1.926,,,,,,,
50,2,374,715.232,1.994,,,,,,,
50,3,1051,1444.418,2.608,2,26.287,35.389,,,,
50,4,87,101.460,0.340,,,,,,,
40,0,1048837,3577243,2541399,237833,2884398,619698.6,6,212957.7,221503441,
40,1,2070,2453.566,1.767,,,,,,,
40,2,394,815.814,5.668,,,,,,,
40,3,2316,3107.870,11.215,,,,,,,
40,4,1557,1965.831,2.290,,,,,,,
30,0,1048805,3670292,110170.8,254934,2967161,609872.7,4,134669.6,130644530,
30,1,1425,1778.839,1.963,,,,,,,
30,2,315,688.848,3.760,,,,,,,
30,3,1149,1521.699,3.240,,,,,,,
30,4,3,8.235,1.424,,,,,,,
20,0,1048918,3464541,4678479,240501,2761006,11625861,5,128230.5,13012393,
20,1,2598,3062.262,4.463,,,,,,,
20,2,308,596.456,1.273,,,,,,,
20,3,3083,4061.556,20.540,,,,,,,
20,4,558,675.347,1.876,,,,,,,
10,0,1048738,3211426,3682795,207371,2461293,1082398,1,38877.56,0.000,
10,1,2007,2600.241,2.773,,,,,,,
10,2,535,964.965,5.974,,,,,,,
10,3,3417,4587.700,9.061,,,,,,,
10,4,1280,1656.636,2.644,,,,,,,
5,0,1048811,3359165,6024753,231217,2641414,978724.9,,,,
5,1,528,683.984,1.324,,,,,,,
5,2,370,663.695,2.144,,,,,,,
5,3,113,148.938,2.428,,,,,,,
5,4,3238,4127.519,11.210,,,,,,,
