TIME,RECV,XMIT
4,0,0
107,0,0
210,0,0
313,0,0
416,0,0
519,0,0
623,0,0
726,0,0
829,0,0
932,0,0
1035,0,0
1139,0,0
1242,210428,15747000
1345,1639588,115832760
1448,3389416,238551856
1551,4768792,335070096
1654,5822232,408600984
1757,7326104,514290504
1860,7629656,535406688
1963,9397960,659445264
2066,11003140,772067808
2169,12240040,858013848
2272,13072328,916940208
2375,14352008,1005566496
2479,14569628,1020926880
2582,14885456,1042968336
2685,15547552,1090283184
2788,16675208,1168340520
2892,17530188,1229345492
2995,19073988,1337429636
3098,20658584,1447433832
3201,100891620,1517050180
3304,141259932,1620281624
3408,258824032,1654400416
3511,375458456,1701087720
3614,453561224,1796365160
3717,553929624,1851376728
3819,596573912,1959884776
3923,663057428,2045349268
4025,741652436,2134176060
4128,817454852,2222642752
4231,933873536,2293058916
4334,1052862644,2295433836
4437,1172008336,2297468392
4541,1291762156,2299513012
4644,1410867740,2301545128
4747,1530068716,2303578572
4850,1648943404,2305606396
4953,1768002380,2307641248
5056,1887235872,2309674692
5159,2006171268,2311704736
5262,2125028928,2313754648
5365,2243957820,2315784912
5468,2304477540,2316800044
