TIME,RECV,XMIT
5,0,0
108,84012,6805964
211,1528100,106693280
314,2623764,182973920
417,4068160,283594288
520,16182684,381916508
623,64592540,427834904
727,111468068,466191320
830,159206196,505444052
933,212375916,546071528
1036,261818556,582614120
1139,309445096,630551788
1242,363436700,681760172
1345,415412380,717266708
1449,466426120,755262444
1552,518785032,796856300
1655,572148896,841604920
1758,621348512,876150664
1861,669137600,918818124
1964,722427912,968354916
2067,773402908,1007547300
2170,825486396,1047397164
2273,877148624,1087880888
2376,930147732,1132455208
2479,979549084,1165189400
2583,1027368428,1209851048
2686,1081493400,1261220552
2789,1133145324,1298289892
2892,1184143880,1338074232
2995,1235156328,1378332068
3098,1288375772,1423665944
3201,1337826280,1457424816
3304,1385404468,1502542960
3407,1438683928,1551811940
3511,1490624812,1589018444
3614,1542367516,1628672464
3717,1593378784,1668999804
3820,1646377956,1714112780
3923,1695779928,1746620440
4026,1744009332,1792415072
4129,1796908680,1842398544
4232,1847857760,1879491004
4335,1899963608,1919397316
4438,1950802244,1959542208
4541,2004380328,2004027484
4644,2053800836,2037380688
4748,2101622476,2082522152
4851,2154912104,2132456324
4954,2206116340,2170198132
5057,2256870656,2209932940
5160,2308618144,2250188868
5263,2362602540,2294484528
5366,2411706440,2327853588
5469,2458077896,2371816600
5572,2512069344,2422806508
5675,2563866968,2460635200
5779,2615909388,2500568360
5882,2666098148,2540739568
5985,2720598772,2584401396
6088,2769793304,2617609728
6191,2817626664,2663993576
6294,2871574132,2714372604
6397,2940725576,2769438172
6500,3010793724,2824689648
6603,3104803572,2899683212
