RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.85,0.13,0:03.99,0,104759,-4654936,0
90,3.93,0.29,0:04.22,7675,133795,-4654936,22978
80,3.86,0.39,0:04.27,6755,165680,-4692319,54443
70,3.82,0.42,0:04.25,4262,176053,-4766491,69734
60,3.83,0.40,0:04.25,3344,177075,-4840924,77849
50,3.88,0.48,0:04.38,6515,196710,-4915532,81854
40,4.04,0.90,0:04.97,22393,395442,-5002303,176702
30,4.26,2.12,0:06.46,17523,1286593,-5191617,686043
20,4.36,2.32,0:06.76,33926,1307423,-5856449,742977
10,4.55,3.99,0:08.75,36438,2494089,-6545753,1281019
5,4.64,4.39,0:09.35,36652,2627222,-7765162,1612230
