TIME,RECV,XMIT
3,0,0
107,0,0
210,0,0
313,0,0
416,0,0
519,0,0
622,0,0
725,0,0
828,0,0
931,0,0
1034,0,0
1137,0,0
1240,0,0
1343,0,0
1446,0,0
1549,0,0
1653,0,0
1756,0,0
1859,0,0
1962,0,0
2065,0,0
2168,0,0
2271,0,0
2374,0,0
2478,0,0
2581,0,0
2684,0,0
2787,0,0
2890,0,0
2993,0,0
3096,0,0
3199,0,0
3303,0,0
3405,0,0
3509,161432,11122036
3612,1778144,124355984
3715,16657188,196324116
3818,42147448,196751024
3921,42329560,196754428
4024,42602728,196758792
4127,42810856,196762344
4231,43075352,196766860
4334,43296488,196770632
4437,43309496,196770856
4540,43309496,196770856
4643,43309496,196770856
4746,43309496,196770856
4849,44794084,301908688
4952,47347552,375821684
5056,51180516,414396096
5159,55147932,444894668
5262,62821876,456891456
5366,72376104,512351416
5469,80173020,529731872
5572,86047792,572101048
5675,88621800,673578824
5778,92669880,710241828
5881,98931680,733162684
5985,108974988,758775520
6088,123649132,782691064
6191,140655816,799458952
6294,160530728,813222364
6397,181858172,849064736
6501,196714464,953967580
6604,224429176,1021994956
6707,264235304,1065112544
6810,309209608,1086614872
6913,355652504,1087395276
7017,362509400,1093570892
7120,364051588,1201914596
7223,404009564,1234762788
7326,432659232,1320980404
7429,443196336,1368592748
7533,446546340,1463645468
7636,475819008,1494552112
7739,562614180,1503185856
