TIME,RECV,XMIT
3,0,0
107,0,0
210,1000636,67741152
313,2286020,157870464
416,3692228,255476020
519,12763868,338176464
622,31983264,363111248
725,51925164,373974792
828,72032980,382947164
931,91059916,416872524
1034,110977984,429100504
1137,131640844,431407048
1239,150642712,462209888
1342,170775840,478726380
1445,199786344,493379848
1548,234066484,550818876
1651,271093720,562844652
1754,306818924,596232520
1857,343867212,631291300
1960,373487696,657402084
2063,409488336,682229104
2166,444318120,720785276
2269,479359544,742912600
2372,515191984,770440284
2474,546356728,798929020
2577,583137108,823737448
2680,618537192,856585964
2783,654818144,883716260
2886,691629528,910673236
2989,723406884,938227220
3092,758622104,969067336
3195,793424724,1004417856
3298,829298708,1028884736
3401,864077712,1050733144
3504,898213108,1079084104
3607,932434956,1110543296
3710,967772884,1135906848
3813,1003922500,1166068248
3915,1039669932,1191426448
4018,1073062548,1222961568
4121,1107696008,1248981620
4224,1142240504,1288826308
4327,1177969032,1309505572
4430,1213837992,1334386304
4533,1248647176,1367546232
4636,1281280528,1389234940
4738,1318029324,1421984424
4841,1354262340,1446337104
4944,1390741204,1473083256
5047,1425543016,1508602104
5150,1458554488,1534037656
5253,1493677376,1567218964
5356,1528484752,1596144732
5459,1564709900,1618327756
5562,1598951784,1646740220
5665,1631078828,1676255936
5767,1666611492,1701404316
5870,1702193236,1732721304
5973,1738914936,1758651832
6076,1775537728,1786640816
6179,1806741076,1819569016
6282,1842385820,1844303508
6385,1877029064,1882079364
6488,1912630276,1905524940
6591,1949474000,1926713036
6694,1980622004,1960772664
6797,2016965780,1983243728
6900,2053301016,2016328388
7003,2089534192,2041053372
7106,2125813640,2070839728
7209,2157703108,2100830620
7312,2193557988,2127277404
7415,2227775736,2164938668
7518,2263563716,2186316604
7621,2299991192,2214771180
7724,2334232552,2241312788
7827,2368328196,2270643388
7930,2404322340,2300565952
8033,2440574476,2326011860
8136,2476802244,2349440652
8239,2509525536,2387603488
8341,2544506272,2411539256
8444,2578932012,2449872012
8547,2614611752,2471957428
8650,2650849344,2493647828
8753,2685755912,2529757184
8856,2717463376,2551571284
8959,2753863984,2581354336
9062,2789549392,2610224836
9165,2826172204,2636749956
9267,2862077552,2668859320
9370,2900779680,2701340340
9473,2942964136,2742801508
9576,2984396824,2772294572
9679,3028251976,2809092408
9782,3062861700,2834873072
9885,3090981816,2852442236
9988,3119086872,2869598424
10091,3145996700,2897705432
10194,3184064884,2904899984
