RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.49,0.14,0:03.64,0,100590,0,0
90,3.57,0.32,0:03.90,3071,145315,51542,45224
80,3.54,0.42,0:03.97,3049,158569,65591,54179
70,3.54,0.42,0:03.97,1905,163843,70643,62613
60,3.53,0.43,0:03.97,959,167249,70752,68983
50,3.54,0.61,0:04.16,4796,208415,93951,78036
40,4.05,1.98,0:06.06,24440,1224159,615599,302199
30,4.12,1.98,0:06.15,245,1382233,708975,769666
20,4.13,1.99,0:06.17,31,1382449,709084,776086
10,4.01,2.97,0:07.02,38869,1432481,741615,817706
5,4.47,3.25,0:07.77,42626,1864986,821733,1190778
