TIME,RECV,XMIT
4,0,0
107,0,0
211,0,0
314,0,0
417,0,0
520,0,0
623,0,0
726,0,0
829,0,0
932,0,0
1035,0,0
1138,0,0
1242,0,0
1345,0,0
1448,0,0
1551,0,0
1654,0,0
1757,0,0
1860,0,0
1963,0,0
2066,0,0
2169,524456,37671168
2272,2025228,142565736
2375,3453832,242818748
2478,4882808,342976176
2581,45909028,450212652
2684,113564660,562383284
2787,163231224,664606464
2890,233873136,749180848
2994,308650148,797310800
3097,383454608,841048008
3200,457932304,886385168
3303,533404320,923333064
3406,605428360,998618776
3510,673990164,1109828792
3613,736445384,1223688196
3716,792665048,1312405008
3820,867204228,1369621824
3923,942440584,1414052264
4026,1017416116,1459145560
4129,1092996340,1500089492
4233,1158638668,1554717136
4336,1158638668,1554717136
