RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME,LOCK_MINPF_HIT,LOCK_MINPF_TIME,LOCK_MINPF_S2
100,0,678752,449495.1,69784.58,118,1768.118,7.567,,,,,1565,644.680,1.783
100,1,5805,6580.101,73.155,,,,,,,,,,
100,2,862,1223.979,1.927,,,,,,,,,,
100,3,2496,3186.845,8.368,,,,,,,,,,
100,4,2202,2724.206,16.067,1,19.759,0.000,,,,,2,0.039,0.000
90,0,689391,493566.1,134707.0,1577,23540.67,11.369,,,,,16566,13692.78,177.921
90,1,1556,1859.222,1.326,,,,,,,,,,
90,2,339,784.201,7.333,4,68.825,17.512,,,,,9,0.656,0.013
90,3,1555,1918.175,2.335,,,,,,,,,,
90,4,3422,3783.465,24.234,,,,,,,,,,
80,0,691778,505743.7,311408.2,1839,27173.56,10.376,2,58281.89,31515083,,18969,14962.48,476.922
80,1,1776,2158.688,1.998,2,31.464,7.023,,,,,10,8.941,7.181
80,2,599,930.664,1.521,,,,,,,,,,
80,3,1106,1356.253,2.576,,,,,,,,,,
80,4,692,774.944,1.548,,,,,,,,,,
70,0,715325,640332.0,457834.4,9126,136077.2,575.969,9,324531.2,241516051,,42241,14510.03,1650.195
70,1,2720,3664.257,47.596,4,63.154,14.436,,,,,9,0.343,0.000
70,2,236,550.402,2.323,,,,,,,,,,
70,3,2506,3190.278,8.471,,,,,,,,,,
70,4,1452,1889.644,3.687,1,24.742,0.000,,,,,7,0.340,0.002
60,0,780178,1230343,3982647,38213,672570.6,19317.93,9,308936.0,845290051,,107170,16417.31,13536.29
60,1,2696,3446.704,4.250,,,,,,,,,,
60,2,881,1140.104,0.743,,,,,,,,,,
60,3,3117,3605.357,10.530,,,,,,,,,,
60,4,2444,2928.284,7.277,,,,,,,,,,
50,0,889251,1935679,1087569,75661,1281275,68181.83,14,486912.2,531902418,,218341,32412.40,13110.60
50,1,1836,2276.990,3.129,,,,,,,,,,
50,2,615,1125.481,1.913,,,,,,,,,,
50,3,7709,8922.597,137.191,,,,,,,,,,
50,4,3664,4969.154,63.873,,,,,,,,,,
40,0,1022926,2993872,1186724,132493,2214199,955860.4,18,620625.7,636428704,,358993,56005.03,114199.1
40,1,4587,5809.331,26.870,,,,,,,,,,
40,2,626,1195.918,5.232,,,,,,,,,,
40,3,3638,4873.179,99.470,,,,,,,,,,
40,4,2238,2691.653,17.773,,,,,,,,,,
30,0,1169535,4166212,5691950,189788,3168611,850934.3,14,536059.0,895620435,,537394,169557.3,221760.6
30,1,5509,7533.522,1137.766,,,,,,,,,,
30,2,1277,1934.175,3.068,,,,,,,,,,
30,3,5864,7670.044,3485.301,,,,,,,,,,
30,4,4069,5021.707,9.562,,,,,,,,,,
20,0,1258026,4495215,10190793,192786,3242626,762014.7,18,407908.8,200101263,,663246,328029.5,276868.3
20,1,9424,10199.87,209.464,,,,,,,,,,
20,2,1786,2646.287,2.508,,,,,,,,,,
20,3,5795,7531.398,16.907,,,,,,,,,,
20,4,5716,7171.674,25.279,4,64.117,6.502,,,,,7,0.222,0.000
10,0,1372973,5515584,17299869,237810,3974464,1372214,8,156933.8,64303290,,814393,509934.5,1154555
10,1,4851,6121.498,26.454,,,,,,,,,,
10,2,1348,2147.525,3.796,,,,,,,,,,
10,3,7156,8967.585,27.169,,,,,,,,,,
10,4,4559,5866.944,15.605,,,,,,,,,,
5,0,1444277,5691135,1398572,243279,4044972,490385.2,7,135068.2,117937629,,888667,543595.3,646223.4
5,1,6265,8472.320,140.729,,,,,,,,,,
5,2,2831,3969.381,8.098,2,33.263,4.770,,,,,10,6.251,3.441
5,3,8711,11896.50,61.357,,,,,,,,,,
5,4,5409,6902.999,24.918,12,176.758,1.637,,,,,27,0.911,0.000
