RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,5.52,0.81,0:06.34,114,678727,1517,646
90,5.63,0.84,0:06.48,1527,687871,53595,13473
80,5.67,0.87,0:06.56,1755,689605,142775,15261
70,5.62,1.30,0:06.94,8746,704559,199991,31673
60,5.71,1.96,0:07.68,38707,741941,309502,80716
50,5.79,2.83,0:08.64,75942,814040,374572,149324
40,5.76,4.10,0:09.90,130836,892934,501450,310903
30,5.97,4.96,0:11.01,188975,979745,560898,461432
20,6.06,5.23,0:11.45,193617,1062047,670521,594069
10,6.01,6.30,0:12.58,252152,1120503,712702,758699
5,7.00,6.03,0:13.32,245993,1197378,772091,844259
