TIME,RECV,XMIT
4,0,0
108,0,0
210,0,0
314,402444,29143896
417,2087964,145689296
520,14677348,230443924
623,18376964,231953300
726,27542296,245291112
829,27609008,249009576
932,37689872,257893840
1035,44192452,263967896
1138,50412348,270190896
1241,54571812,277339312
1344,64544672,277513856
1447,72783508,277684864
1550,77696196,277768704
1653,86368196,277916704
1757,94391964,278075288
1860,104579396,278227504
1963,112815444,278520072
2065,121512428,280909576
2169,121512428,280909576
2272,139309068,283379344
2375,147557016,284359548
2478,156262060,287639572
2581,156262060,287639572
2684,173172460,287928172
2787,182707324,288090900
2890,191379324,288238900
2993,191379324,288238900
3096,207856124,288520100
3199,216090188,288660624
3302,226062988,288830824
3405,226062988,288830824
3508,242973388,289119424
3611,251207452,289259952
3714,261180252,289430152
3817,261180252,289430152
3920,278519916,289726076
