RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME,LOCK_MINPF_HIT,LOCK_MINPF_TIME,LOCK_MINPF_S2
100,0,710452,672276.5,2075986,2305,69940.21,265.729,,,,,222552,109154.0,18780.13
100,1,1750,2168.391,1.625,,,,,,,,,,
100,2,211,446.745,8.792,,,,,,,,,,
100,3,1193,1625.451,3.518,4,61.467,2.563,,,,,8,0.490,0.000
100,4,943,1089.749,1.491,,,,,,,,,,
90,0,786694,1612021,3563018,32830,641435.1,10225.40,6,181508.5,62637436,,378429,425016.3,564486.1
90,1,659,764.521,1.851,1,25.827,0.000,,,,,7,0.304,0.001
90,2,178,427.571,5.416,,,,,,,,,,
90,3,2647,3545.148,3.766,,,,,,,,,,
90,4,2007,2351.011,1.436,,,,,,,,,,
80,0,786493,1627172,18669972,32831,655512.4,11245.13,4,138530.1,219482331,,377752,427087.6,2778375
80,1,921,1462.150,51.042,,,,,,,,,,
80,2,286,551.316,2.426,,,,,,,,,,
80,3,1186,1524.784,2.275,,,,,,,,,,
80,4,,,,,,,,,,,,,
70,0,786696,1638750,5632094,32825,660932.8,11167.89,4,122841.3,107240182,,376218,416189.3,156856.1
70,1,2281,3378.029,14.633,,,,,,,,,,
70,2,606,962.938,4.911,,,,,,,,,,
70,3,2746,3750.079,6.569,2,42.395,17.410,,,,,8,0.479,0.000
70,4,1576,1976.801,2.485,,,,,,,,,,
60,0,996416,2233662,3973874,68296,1282253,47041.40,9,553940.2,1501050032,,557204,280590.2,484758.6
60,1,2875,3944.854,37.313,,,,,,,,,,
60,2,724,967.944,1.440,,,,,,,,,,
60,3,2911,3819.789,3.688,,,,,,,,,,
60,4,639,768.983,2.125,,,,,,,,,,
50,0,1048929,2383882,17584960,78695,1425530,64741.40,19,822068.3,644932884,,605257,277194.3,1230293
50,1,5430,5982.280,59.516,,,,,,,,,,
50,2,598,965.371,3.398,,,,,,,,,,
50,3,3384,4672.203,7.987,,,,,,,,,,
50,4,2630,3306.655,5.516,,,,,,,,,,
40,0,1048762,2659235,6331217,89287,1656125,490869.3,8,216707.6,157304763,,609320,298430.5,1577030
40,1,954,1150.461,2.171,1,24.051,0.000,,,,,3,0.086,0.000
40,2,551,885.852,1.453,,,,,,,,,,
40,3,208,275.713,3.365,,,,,,,,,,
40,4,2866,3502.173,4.665,,,,,,,,,,
30,0,1048856,2814085,8075445,97307,1757578,144458.5,3,105726.2,164534401,,615853,337214.0,292454.2
30,1,1390,1720.960,2.010,,,,,,,,,,
30,2,477,745.642,2.164,,,,,,,,,,
30,3,2490,3268.296,7.338,,,,,,,,,,
30,4,988,1201.326,1.872,,,,,,,,,,
20,0,1048775,2474955,2649179,82983,1461329,169795.0,9,241458.1,78569805,,608501,304167.3,186311.7
20,1,1743,2246.731,2.110,,,,,,,,,,
20,2,966,1369.584,3.058,,,,,,,,,,
20,3,2487,3320.990,7.648,,,,,,,,,,
20,4,2055,2583.677,2.727,1,24.240,0.000,,,,,7,0.300,0.001
10,0,1048723,2602209,4505754,90825,1546418,82061.53,1,26059.81,0.000,,614096,336213.1,320479.3
10,1,1647,2119.201,2.069,1,24.340,0.000,,,,,7,0.341,0.001
10,2,957,1451.571,4.795,,,,,,,,,,
10,3,2645,3445.365,4.969,,,,,,,,,,
10,4,2167,2681.842,31.952,,,,,,,,,,
5,0,1048840,3070920,5303266,124674,2023244,82480.96,1,23693.10,0.000,,612201,326151.0,357602.0
5,1,8,72.659,107.690,3,59.525,30.783,,,,,8,0.420,0.001
5,2,2870,3792.985,38.922,,,,,,,,,,
5,3,3557,4728.764,6.209,,,,,,,,,,
5,4,2656,3375.258,6.658,,,,,,,,,,
