TIME,RECV,XMIT
4,0,0
107,0,0
210,0,0
313,0,0
416,0,0
519,0,0
623,0,0
726,0,0
829,0,0
932,0,0
1035,0,0
1138,0,0
1241,246824,18214392
1344,1636180,115580808
1447,3366664,236932628
1550,4817464,338645208
1653,5923604,415568760
1757,7460708,523721328
1860,7699720,539477016
1963,9372232,657690288
2066,10953976,768518760
2169,12320704,864258356
2272,12866180,902492064
2375,14336200,1004458776
2478,14562376,1020431664
2582,14930716,1046113392
2685,15430808,1081851480
2788,16682960,1168883520
2891,17174000,1204326216
2995,18735844,1313881896
3098,20280200,1421964960
3201,63484684,1503388048
3304,122502332,1592801988
3407,224091084,1642495184
3510,349974316,1692992892
3613,430799820,1780385328
3716,536042096,1831221656
3819,582300960,1936857296
3922,636541436,2042761932
4025,699038112,2125851396
4128,775475604,2215046560
4230,866677400,2278020344
4334,992632060,2294393832
4437,1118677408,2296544716
4540,1245047964,2298701076
4643,1371045616,2300852184
4746,1496945712,2303000624
4849,1622927112,2305150472
4952,1749143736,2307304612
5055,1875111040,2309453056
5158,2001023056,2311603200
5261,2127003620,2313778964
5364,2252992600,2315929552
5468,2304696152,2316792540
