RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.87,0.12,0:04.00,0,104760,0,0
90,3.91,0.53,0:04.45,21582,119659,40204,25120
80,3.75,1.06,0:04.82,47571,125265,74153,53865
70,3.70,1.26,0:04.96,61835,118530,74429,68369
60,3.71,1.39,0:05.11,74247,124250,84254,81996
50,3.64,1.71,0:05.36,81030,194166,125189,94439
40,3.85,3.13,0:07.08,126935,652697,385366,262460
30,4.35,5.08,0:09.76,217795,1089060,666382,722217
20,4.36,5.37,0:10.08,229863,1109949,688059,755989
10,4.29,10.79,0:15.96,451985,2158465,1263400,1318139
5,4.55,10.85,0:16.55,458430,2206522,1282672,1631758
