TIME,RECV,XMIT
4,0,0
107,0,0
210,940832,65416664
313,2138176,149086448
416,3639552,253195064
519,12837872,357350536
623,88254204,405010212
726,154904972,479347308
829,235127360,543672968
932,307029332,614473624
1036,388652432,678542556
1139,467052740,736970664
1242,547477768,808867624
1345,617998524,902075244
1448,699473704,953758780
1551,784766852,1009232436
1655,867866672,1076619884
1758,933935624,1150917408
1861,1007444836,1216847872
1964,1082855184,1276295776
2067,1149380916,1335742640
2170,1239208116,1392990000
2274,1343426236,1463889704
2377,1398967824,1538588132
2480,1483860752,1595501768
2584,1569802416,1660602012
2687,1661776348,1717562864
2790,1728066948,1784509292
2893,1800438960,1850233260
2996,1873054696,1904995320
3100,1952967344,1964626624
3203,2037063004,2019458312
3306,2113737888,2087811468
3409,2183626512,2152416020
3512,2259168256,2211261576
3615,2332157148,2274764708
3719,2417251708,2330542856
3822,2475297720,2417489128
3925,2560595872,2472196404
4028,2650064096,2528941276
4131,2731072276,2594078644
4234,2810564732,2683136452
4338,2887767716,2758892752
4441,2965691048,2828318248
4544,3056385572,2877494676
