RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME,LOCK_MINPF_HIT,LOCK_MINPF_TIME,LOCK_MINPF_S2
100,0,786493,1707862,6269795,53580,1147438,158200.0,,,,49440.07,262156,8363.135,471.508
100,1,2054,2758.162,26.239,,,,,,,,,,
100,2,228,436.732,3.596,,,,,,,,,,
100,3,1189,1371.463,1.766,,,,,,,,,,
100,4,927,1064.532,1.791,,,,,,,,,,
90,0,786561,970177.8,31995725,7,163.755,130.438,20,568448.9,129377956,216741.9,318434,167075.6,14950081
90,1,1104,1401.848,2.680,,,,,,,,,,
90,2,616,985.322,6.250,9,144.602,28.791,,,,,9,0.323,0.000
90,3,1083,1351.124,1.913,,,,,,,,,,
90,4,2172,2561.407,60.821,,,,,,,,,,
80,0,786724,977741.6,2312879,7,179.770,100.847,22,576324.0,164184613,213615.4,321793,178885.5,63329.68
80,1,1231,1964.755,5.228,16,230.809,4.206,,,,,16,0.517,0.000
80,2,662,867.800,1.987,,,,,,,,,,
80,3,1731,2319.951,1.975,,,,,,,,,,
80,4,1506,1994.750,2.266,,,,,,,,,,
70,0,786570,987921.5,4823259,12,400.395,23.292,26,495359.7,97727453,225515.1,315234,158419.1,44691.92
70,1,333,694.893,14.030,16,228.753,4.569,,,,,16,0.513,0.000
70,2,163,376.382,2.924,,,,,,,,,,
70,3,1711,2549.896,3.004,,,,,,,,,,
70,4,2256,2647.863,5.929,,,,,,,,,,
60,0,995888,1607119,686038.1,157,3356.027,122.055,18,808797.0,1403698736,345285.2,607905,493755.5,3404654
60,1,1410,1796.958,2.331,,,,,,,,,,
60,2,660,1191.224,6.916,16,229.831,3.722,,,,,16,0.524,0.000
60,3,2660,3486.827,6.540,,,,,,,,,,
60,4,1594,2023.252,2.543,,,,,,,,,,
50,0,1048724,1781021,41813608,162,2819.003,60.338,26,854092.8,447733719,377134.3,684081,589459.1,439932.3
50,1,2533,3064.256,5.343,,,,,,,,,,
50,2,821,1239.347,3.309,,,,,,,,,,
50,3,1447,1992.003,2.842,,,,,,,,,,
50,4,775,907.729,0.979,,,,,,,,,,
40,0,1048727,1841573,2168781,17,348.814,91.443,21,440640.0,55787246,381850.2,699093,647773.8,891744.3
40,1,1946,2477.846,1.866,,,,,,,,,,
40,2,460,746.143,4.423,,,,,,,,,,
40,3,2216,2888.482,8.183,,,,,,,,,,
40,4,1448,1805.893,2.674,,,,,,,,,,
30,0,1048832,1839058,1576238,17,289.868,42.837,19,463402.7,127466884,384118.6,692618,631653.0,1315816
30,1,1212,1553.766,2.743,,,,,,,,,,
30,2,453,954.139,9.257,9,148.919,24.657,,,,,9,0.348,0.000
30,3,1345,1911.888,3.772,16,229.184,3.739,,,,,16,0.497,0.000
30,4,534,653.827,1.256,,,,,,,,,,
20,0,1048873,1860972,1503190,17,377.396,99.805,11,258041.4,33378495,383088.4,695587,645559.3,389729.2
20,1,2373,3005.410,9.098,,,,,,,,,,
20,2,447,692.807,1.277,,,,,,,,,,
20,3,1912,2458.110,1.547,,,,,,,,,,
20,4,1694,2462.281,4.989,30,429.459,2.199,,,,,30,0.996,0.000
10,0,1048804,1880044,12226685,48,780.263,44.158,5,105622.1,8379045,384688.7,695984,647996.0,684439.9
10,1,1842,2499.606,2.247,,,,,,,,,,
10,2,589,903.651,2.939,,,,,,,,,,
10,3,2815,3775.750,4.975,,,,,,,,,,
10,4,2028,2504.356,1.269,,,,,,,,,,
5,0,1048652,1870831,1381345,17,309.305,74.239,4,64035.71,47020097,380195.8,698231,657881.5,380995.4
5,1,4506,5188.743,48.279,,,,,,,,,,
5,2,468,762.109,4.485,,,,,,,,,,
5,3,2568,4004.402,10.743,16,229.127,3.125,,,,,16,0.530,0.000
5,4,3532,4447.060,7.138,,,,,,,,,,
