TIME,RECV,XMIT
3,0,0
107,91696,7358736
210,1591156,106629156
313,2744728,187514436
416,4199976,288646328
519,19835060,372336052
623,65301684,413747872
726,114525936,452022768
829,150046512,490620984
932,229231776,549148360
1035,312685460,609744660
1138,387262388,672016584
1241,470190024,727553884
1344,550688452,785823048
1447,623639660,844833580
1550,700321808,902178940
1654,774364188,967568848
1757,856326648,1028517352
1860,934925896,1083392144
1963,1011409308,1141518660
2066,1086823772,1203880516
2169,1160365460,1266500980
2272,1241583104,1323480508
2375,1317077164,1378321760
2478,1392849908,1437711724
2581,1466239732,1499734720
2684,1538417776,1566815880
2787,1618898524,1622641704
2890,1692718224,1684021612
2993,1770280980,1733472604
3096,1842604684,1802207288
3200,1917073304,1865615932
3303,1997733900,1927286840
3406,2070958016,1984322504
3509,2145027132,2040568564
3613,2217079748,2100858832
3716,2295115536,2165262760
3819,2373132120,2235144620
3922,2446205964,2290487732
4025,2522380260,2348334708
4128,2596820392,2413308576
4231,2675967496,2474741908
4334,2751441032,2537749564
4438,2826146148,2596493960
4541,2902034472,2658795416
4644,2983488840,2732919992
4747,3074420016,2806417516
4850,3121451432,2840955696
4953,3154475120,2867637436
5056,3191059660,2880048156
