RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME,LOCK_MINPF_HIT,LOCK_MINPF_TIME,LOCK_MINPF_S2
100,0,1048846,3137290,2978690,108322,2393395,324999.5,,,,65464.40,524307,17257.99,820.733
100,1,597,746.190,1.918,,,,,,,,,,
100,2,432,819.753,1.624,,,,,,,,,,
100,3,5054,6090.596,54.060,16,229.132,3.799,,,,,16,0.519,0.000
100,4,3037,4064.264,29.756,,,,,,,,,,
90,0,1048822,1906911,1608933,1446,21423.11,20.815,37,888074.2,76729033,385713.7,746442,689165.3,951740.7
90,1,3585,3978.915,16.660,9,141.329,6.700,,,,,9,0.368,0.000
90,2,354,657.627,2.270,,,,,,,,,,
90,3,2311,3301.568,101.345,,,,,,,,,,
90,4,2407,2916.469,7.544,,,,,,,,,,
80,0,1048887,1949361,2345512,14,271.080,75.630,32,756337.8,43163880,392750.1,760976,726768.3,867181.4
80,1,2601,3239.536,5.744,,,,,,,,,,
80,2,530,849.007,1.911,,,,,,,,,,
80,3,3385,4242.903,6.437,,,,,,,,,,
80,4,2030,2470.845,1.957,,,,,,,,,,
70,0,1048798,1949131,10476656,14,253.526,91.672,35,698531.2,97587247,393456.4,751344,724114.3,521849.9
70,1,1820,2764.274,5.256,33,470.985,6.932,,,,,33,1.019,0.000
70,2,621,899.837,2.614,,,,,,,,,,
70,3,3137,4390.341,16.952,,,,,,,,,,
70,4,2060,2555.941,1.876,,,,,,,,,,
60,0,1049012,1961283,2254167,14,263.798,87.418,27,625085.4,126811124,393513.1,753781,731687.8,512533.8
60,1,1554,1974.189,3.107,,,,,,,,,,
60,2,571,913.081,4.206,,,,,,,,,,
60,3,1412,1997.091,3.059,8,115.652,2.340,,,,,8,0.275,0.000
60,4,909,1114.573,1.044,,,,,,,,,,
50,0,1048730,1970300,1479776,14,273.220,84.609,25,861506.4,265542058,385478.0,763921,768674.1,14414949
50,1,2207,2703.646,19.667,,,,,,,,,,
50,2,663,955.840,3.061,,,,,,,,,,
50,3,2510,3290.159,5.634,,,,,,,,,,
50,4,1879,2422.052,2.799,,,,,,,,,,
40,0,1048801,1995619,1897323,14,260.066,87.185,21,473214.4,105308469,383537.2,773500,762803.2,439805.7
40,1,1681,2055.830,2.221,,,,,,,,,,
40,2,194,432.404,1.484,,,,,,,,,,
40,3,2494,3191.651,6.727,,,,,,,,,,
40,4,698,965.325,1.185,,,,,,,,,,
30,0,1048850,1998743,2346386,14,244.606,56.644,17,328766.7,131678793,383335.5,768979,769336.7,1850700
30,1,2102,2577.589,56.427,,,,,,,,,,
30,2,768,1114.342,1.842,,,,,,,,,,
30,3,2003,2860.381,3.340,8,116.053,2.741,,,,,8,0.264,0.000
30,4,1505,2102.877,3.917,,,,,,,,,,
20,0,1049004,2013717,1468380,14,266.133,71.740,10,225955.3,29144079,380281.9,768158,779731.6,1014275
20,1,1305,1599.682,1.592,,,,,,,,,,
20,2,376,662.738,1.384,,,,,,,,,,
20,3,4399,5406.747,71.757,,,,,,,,,,
20,4,2344,3153.853,7.146,,,,,,,,,,
10,0,1048739,2017078,3151806,15,321.498,102.222,4,89410.85,15989069,376520.1,772743,790907.1,1310823
10,1,1816,2719.429,4.701,33,475.034,6.955,,,,,33,1.083,0.000
10,2,903,1082.319,1.071,,,,,,,,,,
10,3,2221,2918.553,9.589,,,,,,,,,,
10,4,1922,2352.072,2.220,,,,,,,,,,
5,0,1048741,2031387,3586003,14,213.482,10.593,3,47264.47,28759176,380869.5,771389,790137.3,755534.0
5,1,,,,,,,,,,,,,
5,2,1738,2253.647,2.276,,,,,,,,,,
5,3,2821,3898.485,4.170,,,,,,,,,,
5,4,2467,2966.739,5.364,,,,,,,,,,
