RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,2.16,3.59,0:05.76,108322,940463,558095,122661
90,2.23,2.81,0:05.34,1446,1047343,565351,546388
80,2.30,2.65,0:05.26,14,1048781,565617,562231
70,2.20,2.68,0:05.20,14,1048786,565620,562304
60,2.24,2.60,0:05.16,14,1048788,565620,562425
50,2.38,2.68,0:05.40,14,1048791,565612,562708
40,2.30,2.50,0:05.13,14,1048794,565625,562711
30,2.31,2.29,0:04.94,14,1048799,565625,562809
20,2.50,2.10,0:04.94,14,1048800,565627,562872
10,2.44,1.98,0:04.77,15,1048799,565624,562981
5,2.41,1.95,0:04.71,14,1048802,565622,563004
