TIME,RECV,XMIT
4,0,0
107,0,0
211,0,0
313,0,0
417,238576,17761548
520,1899248,134096032
623,10101844,210964260
726,17479616,223317064
829,17960544,223603220
932,32959712,229698780
1035,35275856,232519472
1138,36335736,235403900
1242,37325732,237340376
1345,38178828,239210160
1448,56746864,268289496
1551,58685516,272982628
1654,60792920,281226756
1757,61896580,282926308
1860,63374004,284997048
1964,82069004,301289172
2067,86595788,301362360
2170,88746444,301402984
2273,94274844,301493412
2376,97574540,301549728
2479,112100140,301800364
2582,120915228,301948068
2685,124224216,302047972
2788,128672952,302123896
2891,132016008,302180948
2995,142683248,302413140
3098,155318352,302626408
3201,158743792,302688568
3304,163084128,302758944
3407,166496560,302820880
3510,173056928,302932104
3613,189711504,303213376
3716,194168912,303289448
3819,197477280,303345912
3922,201943360,303422132
4026,204484256,303469268
4129,225245024,303819808
4232,228596752,303877008
4335,233010800,303952340
4438,236362528,304009544
4541,239670896,304066004
4644,256438208,304354308
4747,263682380,305600616
4851,268326756,307538660
4954,282353716,307778048
