RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,5.61,0.79,0:06.40,217,678609,1519,624
90,5.68,0.78,0:06.47,32,689366,54492,13467
80,5.63,1.01,0:06.65,397,691801,145467,15412
70,5.70,1.23,0:06.94,2263,712165,203592,29351
60,5.78,1.68,0:07.47,16958,762798,307100,75322
50,5.78,2.01,0:07.80,10201,880594,374442,143598
40,5.75,2.69,0:08.45,12783,1012079,494576,300688
30,5.85,2.99,0:08.87,17758,1152762,561502,463738
20,5.89,3.09,0:09.03,4690,1252504,670201,575251
10,6.20,3.09,0:09.37,2238,1368371,715191,726696
5,7.05,3.06,0:10.18,4716,1435015,768070,796568
