RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,4.00,0.12,0:01.64,0,100476,0,0
90,4.15,0.98,0:01.99,41858,106147,60109,45600
80,4.13,1.16,0:02.09,49999,117287,74435,54384
70,4.16,1.28,0:02.18,58487,119356,76946,63786
60,4.21,1.37,0:02.20,64054,110159,73778,69778
50,4.39,1.51,0:02.33,70878,159817,102909,82381
40,5.64,5.18,0:04.03,166219,969320,570603,355338
30,5.79,7.59,0:05.14,253002,1075050,679504,749055
20,5.08,7.79,0:05.11,271961,1097589,703886,788278
10,4.56,8.54,0:05.29,288504,1094307,709915,797523
5,5.83,8.59,0:05.85,300531,1137175,728287,811509
