RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME,LOCK_MINPF_HIT,LOCK_MINPF_TIME,LOCK_MINPF_S2
100,0,678984,524319.2,307743.3,207,2895.553,4.320,,,,44319.54,1345,40.752,0.000
100,1,882,1095.716,2.381,,,,,,,,,,
100,2,646,1011.791,1.748,,,,,,,,,,
100,3,198,237.490,0.418,,,,,,,,,,
100,4,5607,6481.651,190.655,,,,,,,,,,
90,0,689549,550916.0,186513.7,32,517.393,17.744,,,,51779.79,14020,6286.791,73.302
90,1,1448,2161.795,6.535,31,459.264,12.313,,,,,31,1.004,0.000
90,2,367,645.125,1.428,,,,,,,,,,
90,3,5905,6824.643,540.705,,,,,,,,,,
90,4,3076,3938.019,25.153,,,,,,,,,,
80,0,692055,562860.1,164696.6,395,6604.119,41.998,2,81551.84,577145488,52995.49,16689,6524.510,90.031
80,1,2312,2948.986,13.206,,,,,,,,,,
80,2,960,1474.384,49.963,,,,,,,,,,
80,3,2639,3675.490,9.704,30,434.060,4.062,,,,,30,1.006,0.000
80,4,2388,3028.551,11.161,8,120.357,2.755,,,,,8,0.323,0.000
70,0,714238,626970.9,2541704,2123,33913.45,912.849,9,301620.2,227045025,64499.66,39096,7212.335,183.545
70,1,2115,2833.672,124.223,,,,,,,,,,
70,2,735,1042.887,1.539,,,,,,,,,,
70,3,1471,1689.217,2.567,,,,,,,,,,
70,4,6249,6980.987,717.184,,,,,,,,,,
60,0,780180,1041961,5449373,16960,354926.5,6783.518,8,287352.9,936037830,94128.95,104106,7435.481,1935.919
60,1,3239,4052.687,8.846,,,,,,,,,,
60,2,753,1257.854,4.984,8,118.983,2.080,,,,,8,0.314,0.000
60,3,2700,3257.425,4.306,,,,,,,,,,
60,4,2413,2952.861,8.200,,,,,,,,,,
50,0,892149,1046443,2745117,9977,183686.4,8895.992,16,553578.7,394168693,165547.4,217018,13282.69,2446.521
50,1,2750,3763.432,6.176,,,,,,,,,,
50,2,1373,1887.106,2.842,,,,,,,,,,
50,3,4070,5004.262,7.078,,,,,,,,,,
50,4,2157,2773.039,43.292,8,147.622,64.752,,,,,8,0.305,0.000
40,0,1028069,1362767,7293119,13342,258574.8,7765.654,22,792459.6,462845898,268274.0,354753,23340.57,13803.83
40,1,2386,3010.547,11.223,,,,,,,,,,
40,2,621,1133.433,4.706,,,,,,,,,,
40,3,2390,3245.378,13.636,16,226.544,3.310,,,,,16,0.476,0.000
40,4,1108,1451.971,2.632,,,,,,,,,,
30,0,1171141,1695010,2231003,18079,318998.7,49901.25,29,764891.7,546527429,373010.4,511324,63807.52,26276.51
30,1,4463,5140.426,31.038,,,,,,,,,,
30,2,1003,1566.705,2.792,,,,,,,,,,
30,3,4289,6431.698,57.236,32,473.265,7.427,,,,,32,1.013,0.000
30,4,2850,3724.874,5.093,,,,,,,,,,
20,0,1257104,1703430,3855897,4752,98100.19,1985.153,40,762886.5,217578464,456452.3,613823,115298.2,132852.5
20,1,3667,4990.359,48.757,,,,,,,,,,
20,2,1412,1927.027,2.791,,,,,,,,,,
20,3,5502,7111.784,242.121,,,,,,,,,,
20,4,2159,2724.701,28.916,,,,,,,,,,
10,0,1372708,1978102,4697947,3037,73781.12,2000.441,45,604551.1,133078092,563966.8,747824,176397.7,561307.7
10,1,790,1281.941,6.447,16,244.156,9.636,,,,,16,0.516,0.000
10,2,330,724.979,0.868,,,,,,,,,,
10,3,6938,9726.639,111.313,,,,,,,,,,
10,4,4279,5130.571,25.485,,,,,,,,,,
5,0,1439910,2140148,967461.4,4701,90139.80,2922.281,47,520430.5,42541214,614004.9,812363,186622.5,246735.5
5,1,2534,3074.222,7.635,,,,,,,,,,
5,2,898,1582.177,3.364,,,,,,,,,,
5,3,1925,2851.650,3.949,16,230.361,3.701,,,,,16,0.510,0.000
5,4,9211,11291.38,361.581,30,455.059,16.597,,,,,30,1.103,0.000
