TIME,RECV,XMIT
3,0,0
107,0,0
210,0,0
313,0,0
416,0,0
519,0,0
622,0,0
725,0,0
828,0,0
931,0,0
1034,0,0
1137,0,0
1240,0,0
1343,0,0
1446,0,0
1550,0,0
1653,0,0
1756,0,0
1859,0,0
1962,0,0
2065,0,0
2168,0,0
2271,0,0
2374,0,0
2477,0,0
2580,0,0
2684,0,0
2787,0,0
2890,0,0
2993,0,0
3096,0,0
3199,0,0
3302,0,0
3405,0,0
3508,0,0
3611,0,0
3715,0,0
3818,0,0
3921,0,0
4024,0,0
4127,0,0
4230,0,0
4333,0,0
4436,0,0
4539,0,0
4642,0,0
4745,854172,60480504
4848,1910340,133641068
4952,2651608,185176180
5055,3470692,242881876
5158,3845416,268515892
5261,4932880,340019540
5365,5434772,374102564
5468,5434772,374102564
5571,6373688,421183524
5674,8496160,429900996
5778,12050608,481178556
5881,20048304,570654344
5984,31132876,647788080
6087,44228176,725272896
6191,61078088,780548676
6294,81041000,825766868
6397,102721356,874896912
6501,127728212,889264876
6604,160196560,895337044
6707,195699728,895919276
6810,200798864,896006300
6913,208933200,896146012
7016,212918564,964658144
7119,214572164,1080609288
7222,216131872,1172727616
7326,217683628,1259273204
7429,308691932,1260826388
