TIME,RECV,XMIT
4,0,0
107,0,0
210,0,0
313,0,0
417,0,0
520,0,0
623,0,0
726,0,0
829,0,0
932,0,0
1035,0,0
1139,0,0
1242,0,0
1345,0,0
1448,0,0
1551,0,0
1654,0,0
1757,0,0
1860,0,0
1963,0,0
2066,1337280,94610156
2170,3036884,213759552
2273,4563820,320834808
2376,6109108,428479128
2479,7385564,518412960
2582,8827004,618894024
2686,32609536,675551460
2789,122616572,771739728
2892,223613512,836781992
2995,278665088,932185640
3099,388528488,1024805476
3202,457110108,1115017372
3305,568830172,1188864136
3408,644305024,1280624824
3511,726930828,1376353800
3615,808948016,1456999468
3718,901492512,1550711744
3821,994588660,1633647216
3925,1089289560,1726378540
4028,1159547808,1793836368
