TIME,RECV,XMIT
4,0,0
108,0,0
211,0,0
314,645604,46120248
418,2375072,165538348
521,3862452,269812824
624,20328316,285478772
727,32300012,285682788
830,47866252,285952148
933,66111312,303514336
1036,69796076,310504952
1139,92360680,310893652
1242,105251608,311113656
1345,121251696,311407792
1449,142624976,327755624
1552,144389728,327785444
1655,167543968,328180604
1758,181327656,337392976
1861,196889560,337662260
1964,217626796,362502620
2067,223262536,371637500
2170,243199464,371976568
2274,258258392,372233572
2377,272523832,372477032
2480,294389716,377158424
2584,294606516,377174704
