TIME,RECV,XMIT
4,0,0
107,0,0
210,0,0
313,1826556,98911520
416,2971820,178967096
519,4677476,277541904
623,14395092,344339696
726,33109964,369309556
829,46453180,382389152
932,63574800,401497864
1035,81223932,425250872
1138,100491112,438230396
1241,124779840,447890728
1344,147856948,476740452
1447,173337712,500727828
1550,200699008,519483728
1654,226348620,555180456
1757,257146396,577214904
1860,294451932,583831808
1964,328038440,620502348
2067,359400592,652650388
2170,395157828,666132656
2273,425518396,719765568
2377,462320796,733110616
2480,498132204,762626640
2583,529213380,790296808
2686,560964388,812170888
2789,594984064,853579004
2892,631700432,871660840
2995,669057552,886444020
3099,701622368,918136992
3202,732270264,946012912
3305,768086600,978583064
3408,803021584,1013581224
3511,840200836,1031001264
3614,873045768,1063411756
3717,904980952,1090436508
3820,938522196,1114612100
3924,973085648,1154067456
4027,1009796560,1167045836
4130,1046285216,1185435112
4233,1077641708,1221125120
4337,1110012180,1244653220
4440,1144687208,1283727488
4543,1179937492,1309783224
4646,1215469700,1330571336
4750,1249282624,1363437592
4853,1283139424,1388731316
4956,1317134512,1420707372
5059,1352492008,1450681616
5163,1388909936,1459594212
5266,1423615648,1488153580
5369,1454148200,1523223068
5472,1488337672,1544370956
5575,1522190520,1588934644
5679,1558277408,1606073620
5782,1594030864,1633571680
5885,1627550136,1663011832
5988,1660734672,1687984848
6091,1695483972,1729609560
6195,1731511292,1747727492
6298,1768251024,1758060448
6401,1800652488,1793139888
6504,1831647428,1820042700
6608,1867800428,1847644396
6711,1901669260,1887985860
6814,1938572980,1904719156
6917,1973428520,1932865348
7020,2008867640,1966189928
7124,2044976628,1996533924
7227,2079631492,2030114292
7330,2115941960,2039798268
7434,2151860680,2062611300
7537,2183338904,2099312000
7640,2217315736,2118237144
7744,2251899748,2162825852
7847,2287093764,2186826284
7950,2322895296,2209869028
8053,2359513048,2237663364
8156,2395605432,2272336328
8260,2431214684,2304364052
8363,2467612596,2326553368
8466,2504126360,2336561536
8569,2537185600,2375085812
8672,2568214972,2402725128
8776,2603669212,2427568616
8879,2638322072,2471611456
8982,2675162056,2486067832
9085,2709672992,2514929652
9188,2744146212,2553354368
9292,2779016160,2584118364
9395,2814899916,2613660252
9498,2851950476,2623563028
9602,2887812500,2654476536
9705,2944375256,2726183992
