TIME,RECV,XMIT
4,0,0
107,0,0
210,0,0
314,0,0
417,0,0
520,0,0
623,0,0
726,0,0
830,0,0
933,0,0
1036,0,0
1139,0,0
1242,0,0
1345,0,0
1449,0,0
1552,0,0
1655,0,0
1758,0,0
1861,0,0
1964,0,0
2067,0,0
2170,1224004,86631308
2274,32458816,95890216
2377,32493504,95890808
2480,32497840,95890880
2583,32502176,95890956
2686,32571552,95892140
2789,32614912,95892880
2893,32662608,95893692
2996,32697296,95894284
3099,32697296,95894284
3202,32744992,95895100
3305,33151648,119527644
3408,33576836,120464288
3511,33936724,120470432
3614,38836792,207569492
3718,55414868,302172448
3821,95490404,377817772
3924,124351572,444539336
4027,161785956,476583424
4130,217839876,530300448
4233,240396296,571824172
4336,262668512,596231692
4439,293704516,596755984
4542,295338100,596783732
4645,296913156,596810744
4748,298161924,596832352
4852,299527764,596855660
4955,300811220,596876972
5058,305714680,601792972
5162,326190532,646509972
5265,345486428,742071048
5368,367914624,751357052
5471,393161376,797841220
5575,419112160,863215568
5678,445871700,894224048
5781,473721840,923584780
5885,503242388,938945844
5988,532588972,968423332
6091,561844688,998058884
6194,591507540,1028837324
6298,627071808,1050276816
6401,665262572,1071110736
6504,701817876,1093234816
6607,728596852,1109821016
6710,754586860,1121278368
6814,777530100,1143637612
6917,787995544,1163599912
7020,800664940,1180779660
7123,814014268,1197111136
7227,827915364,1216244832
7330,842282568,1234552176
7433,857160780,1262035996
7536,871280920,1311756808
7639,888050092,1324094608
7743,905866804,1331200044
7846,923777836,1341615832
7949,940209752,1379688384
8052,956739112,1417115896
8155,973876420,1441550720
8258,991710220,1452777876
8362,1009685828,1465436056
8465,1027683728,1477377920
8568,1047117592,1494811892
8671,1067204948,1507014944
8774,1087590164,1531362508
8877,1110433740,1549077300
8980,1134289668,1558817484
9083,1151678968,1565199480
9186,1179320968,1565675152
9289,1207882200,1566162292
9392,1236699256,1566654244
9495,1266154792,1567159148
