TIME,RECV,XMIT
4,0,0
107,0,0
210,238948,17662704
313,1861552,130428600
417,3128136,219272328
520,15233024,318793164
623,28960528,336539644
726,38839836,340958920
829,59872524,394048556
932,72257940,412836280
1036,85326852,457706740
1139,109979776,504130944
1242,127305600,557176356
1345,166088284,590603072
1449,200911720,639616988
1552,230883600,671958328
1655,248678504,708068112
1758,272372296,737031216
1862,290059056,801490080
1965,313689900,854693988
2068,348309256,878539008
2171,384082680,935330912
2275,399236464,971605896
2378,414349156,995347600
2481,439265488,1055100920
2585,465115132,1109683844
2688,506265072,1138979980
2791,544499596,1190127820
2894,572188592,1225227400
2997,587809384,1253157096
3100,611748276,1303195500
3204,629674440,1358677728
3307,668479912,1390570704
3410,714603916,1441099092
3514,732310432,1479719168
3617,747023956,1514072088
3720,770064996,1556622244
3823,788388384,1610673432
3927,825314340,1655890980
4030,859623824,1687177012
4133,905385244,1734411012
4237,922600516,1769505184
4340,937211832,1793208168
4443,962753896,1851829916
4546,986932908,1913782708
4649,1030236964,1934412724
4752,1066346292,1993812368
4856,1081621724,2023039504
4959,1097317004,2057978188
5062,1122674596,2107152420
5165,1141649952,2167959524
5269,1178076104,2193616144
5372,1224575556,2244031256
5475,1249969752,2280665756
5579,1265099052,2314056252
5682,1286820052,2353865756
5785,1314026540,2433382796
5889,1349507188,2485137656
