RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME
100,0,786491,1381948,8086833,53767,846454.9,947041.4,,,,47243.30
100,1,1246,1416.978,1.889,,,,,,,
100,2,313,561.020,0.924,,,,,,,
100,3,282,340.166,3.518,,,,,,,
100,4,607,776.781,2.173,,,,,,,
90,0,786767,1052945,2534298,15,179.669,97.653,16,434566.6,44654536,219355.5
90,1,1179,1415.299,1.224,,,,,,,
90,2,144,316.742,0.136,,,,,,,
90,3,1068,1344.698,2.207,,,,,,,
90,4,685,854.773,3.068,,,,,,,
80,0,786565,1061362,2678924,7,118.922,85.045,13,325170.7,107008030,228331.9
80,1,1634,2100.576,1.443,,,,,,,
80,2,352,583.617,4.804,,,,,,,
80,3,1369,2058.154,2.993,16,121.267,7.219,,,,
80,4,869,1318.060,3.512,34,231.209,0.910,,,,
70,0,786629,1071652,1468033,12,220.256,95.667,13,290329.0,97897832,226869.4
70,1,1851,2700.837,2.483,,,,,,,
70,2,690,924.415,3.248,,,,,,,
70,3,2909,4233.650,5.620,,,,,,,
70,4,1876,2193.849,1.350,,,,,,,
60,0,995650,1713766,15050780,21,269.873,115.746,15,677980.4,1215154303,344998.9
60,1,2148,2664.145,20.718,,,,,,,
60,2,981,1380.751,3.186,,,,,,,
60,3,2379,3168.730,9.322,,,,,,,
60,4,2467,3078.782,8.026,,,,,,,
50,0,1048961,1884680,4359221,72,1531.262,123.777,21,870138.2,720133295,375950.5
50,1,1326,1660.374,2.619,,,,,,,
50,2,515,870.195,2.277,,,,,,,
50,3,650,1082.326,5.037,30,245.813,14.212,,,,
50,4,4877,5698.293,86.466,,,,,,,
40,0,1048728,1955951,3497541,17,245.466,88.842,12,273039.1,46139911,384405.7
40,1,1445,1783.247,1.189,,,,,,,
40,2,429,836.737,4.770,28,186.732,0.828,,,,
40,3,905,1390.259,5.296,,,,,,,
40,4,4284,4959.312,283.055,,,,,,,
30,0,1048800,1940932,23707246,25,190.755,8.370,11,317450.7,73447928,382724.3
30,1,238,284.666,2.870,,,,,,,
30,2,1762,2287.935,2.343,,,,,,,
30,3,2862,3820.146,3.370,,,,,,,
30,4,2039,2445.568,1.767,,,,,,,
20,0,1048803,1954657,5632248,25,242.693,49.997,6,142703.6,41751054,384392.9
20,1,2042,2455.648,1.417,,,,,,,
20,2,282,516.541,1.255,,,,,,,
20,3,1400,1897.737,1.764,,,,,,,
20,4,491,715.210,2.720,16,116.993,5.191,,,,
10,0,1048768,1962835,6492996,17,163.334,20.391,3,58794.47,4613565,379474.5
10,1,2407,2979.805,8.993,,,,,,,
10,2,464,742.444,2.855,,,,,,,
10,3,2388,3273.088,9.970,,,,,,,
10,4,1888,2257.180,1.919,,,,,,,
5,0,1048726,1959702,1038234629,17,223.148,74.007,,,,382877.5
5,1,375,503.270,1.734,,,,,,,
5,2,181,390.942,1.323,,,,,,,
5,3,2682,3867.664,6.095,,,,,,,
5,4,2119,2511.829,54.918,,,,,,,
