TIME,RECV,XMIT
4,0,0
108,0,0
210,0,0
314,0,0
417,0,0
520,0,0
623,0,0
726,0,0
829,0,0
932,0,0
1036,0,0
1139,0,0
1242,336784,24634824
1345,1771092,125094168
1448,3526004,247942488
1551,5062424,355760584
1655,5937492,416871960
1758,7057028,494447112
1861,7904444,554911248
1964,9468764,664440864
2067,11260008,789902108
2170,12403908,869073672
2274,13712416,961811580
2377,14304208,1002773304
2480,14663124,1027364688
2584,14909140,1044601680
2687,15895684,1114739904
2790,16346920,1145586648
2893,17993704,1261731092
2997,19311452,1354127988
3100,20679976,1449943580
3203,89178464,1547515164
3306,144292716,1634883380
3409,263395812,1675070948
3512,359524532,1755524692
3615,439127664,1819350924
3718,519803704,1896934412
3821,570178144,2001035096
3924,651084276,2078084944
4027,712539104,2165816256
4131,807427288,2235706016
4234,925717140,2293143560
4337,1046890996,2295209716
4440,1166831264,2297258404
4543,1286277220,2299294588
4646,1407478176,2301364664
4749,1528845048,2303441748
4852,1650086112,2305509532
4955,1771410640,2307579904
5059,1891226248,2309624672
5162,2010894428,2311667368
5265,2131011384,2313717832
5368,2252009632,2315763636
