RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,2.13,2.94,0:05.08,108521,940265,-55716042,122861
90,2.31,2.49,0:05.18,51,1048740,-56274139,554719
80,2.19,2.49,0:05.07,15,1048781,-56839630,562090
70,2.39,2.27,0:05.06,14,1048784,-57405247,562233
60,2.34,2.38,0:05.13,14,1048787,-57970866,562406
50,2.33,2.63,0:05.36,14,1048791,-58536482,562626
40,2.47,2.14,0:05.02,14,1048794,-59102103,562614
30,2.42,2.18,0:05.02,14,1048795,-59667723,562723
20,2.44,2.06,0:04.91,15,1048796,-60233343,562792
10,2.65,1.75,0:04.80,14,1048801,-60798965,562921
5,2.48,1.87,0:04.76,14,1048801,-61364588,562964
