TIME,RECV,XMIT
4,0,0
107,5888,1404208
210,1289600,90854760
313,2963748,177108084
416,4205052,264225920
519,6040608,368641036
623,41291900,457807124
726,122111680,520996232
829,201406284,581359632
932,280884464,642980520
1035,361119876,706013200
1138,449407764,764498932
1241,533160368,820846780
1343,613158212,881830696
1446,693489696,943954816
1550,773037696,1006443192
1653,857062660,1068106164
1756,939268628,1128149140
1859,1018270828,1191235912
1962,1097101288,1251478872
2065,1176972956,1312872584
2168,1266276240,1370786624
2271,1349718488,1427309124
2374,1429493428,1490920004
2477,1508675108,1551453020
2580,1588403596,1612695852
2683,1673537544,1675906632
2786,1753788224,1735728504
2889,1833519048,1797874372
2992,1913185128,1859814816
3095,1992205324,1919954652
3198,2083570644,1977444488
3301,2164674288,2035433852
3404,2242987688,2096981744
3507,2322224188,2157490424
3610,2402635468,2219136992
3713,2488652820,2282719944
3816,2567425692,2342140132
3919,2647759928,2404253660
4022,2728338012,2467399528
4125,2807421268,2527879752
4228,2900544260,2584134248
4331,2980486684,2643845968
4434,3060547808,2705333420
4537,3141307356,2768555208
4640,3220010776,2828748628
4743,3305357624,2889441220
4846,3384340292,2951494244
4949,3463493228,3011852264
5052,3542331832,3072251904
5155,3622954004,3135997488
5258,3715184804,3189135200
5361,3795445972,3251435520
5464,3874628612,3311564768
5567,3954614276,3372364904
5670,4034670692,3436251208
5773,4119887604,3496587200
5876,4199497824,3558835548
5979,4279189484,3620034940
6082,4359302240,3681440004
6185,4442659888,3744615212
6288,4532459400,3797612312
6391,4612255940,3859971036
6494,4690712076,3919847400
6597,4770623084,3981488200
6700,4852234084,4044141976
6803,4936833688,4106031668
6906,5017654908,4167481920
7009,5097013800,4230002016
7112,5176205148,4290722564
7215,5260637568,4352038428
7318,5347809224,4405267936
7420,5428279408,4466169248
7524,5507630844,4529359448
7626,5586435044,4590183788
7729,5668514240,4652331260
7832,5751643480,4713062316
7936,5832864400,4775240024
8038,5912544840,4835933020
8141,5992437748,4899585760
8245,6077936116,4958603956
8347,6164462320,5014278452
8450,6244178856,5074951976
8553,6324738276,5136471784
8656,6404706480,5200556872
8759,6467753772,5246158324
8862,6523160264,5247103524
8965,6581213884,5248094680
