TIME,RECV,XMIT
4,0,0
107,0,0
210,0,0
313,0,0
416,0,0
519,0,0
622,0,0
725,0,0
829,0,0
932,0,0
1035,0,0
1138,0,0
1241,823112,58623376
1344,2396240,169115180
1448,3776112,265557408
1551,5523148,387945264
1654,7035700,492952776
1757,7102348,497622576
1860,8610808,604233024
1964,9766984,684319008
2067,11370368,797685472
2170,13004440,912198740
2273,13768836,965349744
2377,14508744,1017125880
2480,15735476,1102906848
2583,16147776,1131386112
2686,16312760,1142945496
2790,17649416,1237657728
2893,18929160,1326262296
2996,63691016,1410254436
3099,91958324,1523035944
3202,127638240,1586363128
3305,182651272,1611519024
3408,265384504,1662739984
3511,335144596,1744227560
3615,417619720,1774444128
3718,509821948,1790536696
3821,581603168,1871386396
3924,645177952,1931873688
4027,693541656,1998278852
4130,734264800,2109115248
4233,763160504,2211657200
4335,837392968,2272640972
4439,927266264,2293234340
4542,1018509796,2294791152
4645,1110561992,2296355292
4748,1198442952,2297861340
4851,1292084296,2299460776
4954,1367272704,2300737128
5057,1418183848,2301606924
5160,1486377204,2302770500
5263,1579361640,2304362832
5366,1673837656,2305975068
5469,1768836168,2307597592
5572,1863876952,2309217748
5675,1957504448,2310826864
5778,2001150624,2311571528
5881,2044952896,2312319000
5984,2088789856,2313067512
6087,2132214896,2313808844
6190,2175475168,2314546328
6293,2219110504,2315291432
6396,2263366972,2316046752
6499,2305928064,2316766992
