TIME,RECV,XMIT
4,0,0
107,0,0
210,1288732,90785256
313,2417316,169924248
416,3629664,254966736
519,4901968,344431416
623,6115556,429212180
726,7308000,512622408
829,8533556,598541300
932,9750800,683793384
1036,10963272,768662112
1139,12163964,852822768
1242,13394044,939151080
1345,14621644,1024942916
1449,15829344,1109909376
1552,17051488,1195277664
1655,18266440,1280472192
1758,19485792,1365823104
1861,20700808,1450730928
1964,21916008,1536249092
2067,23147512,1622401464
2171,24354776,1706861856
2274,25523168,1788959112
2377,26746924,1874770488
2480,27928332,1957345584
2583,29145952,2042557488
2686,30371568,2128651224
2790,60467100,2217546772
2893,155717304,2280060852
2996,274970436,2282104540
3100,394431572,2284143168
3203,513570760,2286178240
3306,633028644,2288216940
3410,752382464,2290251940
3513,871911892,2292290640
3616,990966528,2294324160
3719,1110424416,2296363084
3822,1229868208,2298402448
3926,1349222024,2300438116
4029,1468516224,2302474668
4132,1587832104,2304510852
4235,1706981048,2306545112
4338,1826126740,2308576488
4441,1945303872,2310612004
4545,2064063656,2312637384
4648,2182910164,2314667056
4751,2301862904,2316697468
