TIME,RECV,XMIT
5,0,0
108,693284,49504224
211,1879880,130376916
314,3062468,212895540
418,4408836,305904284
521,13576464,412794268
624,91938168,473321660
728,178067776,550358424
831,266950744,622852640
934,354642388,699512476
1037,445407180,768079544
1141,536008764,841367464
1244,623548236,911670344
1347,710704056,989127444
1450,800709076,1057120504
1553,890457828,1129740096
1656,978404884,1199620964
1760,1065189968,1277177784
1863,1158388600,1347723852
1967,1249780572,1421601752
2070,1337911388,1491992792
2173,1426903480,1570311520
2276,1515622936,1638330336
2379,1600571328,1706584456
2483,1688030468,1774168044
2586,1774357000,1851872768
2689,1866282928,1922958732
2792,1957516648,1996162624
2896,2047233180,2065579356
2999,2133328132,2143376448
3102,2225007372,2214021988
3205,2316572848,2287708632
3308,2406140756,2357602856
3412,2492502972,2435308764
3515,2584022856,2505542568
3618,2674360288,2578172148
3721,2763322600,2647042832
3825,2849570168,2724857192
3928,2963323184,2813314140
4031,3035578752,2895033048
4134,3141423460,2909522012
