TIME,RECV,XMIT
4,0,0
107,0,0
210,0,0
313,0,0
416,0,0
519,0,0
622,0,0
725,0,0
828,0,0
932,0,0
1034,0,0
1138,0,0
1241,0,0
1344,0,0
1447,0,0
1550,0,0
1653,0,0
1756,0,0
1859,0,0
1962,0,0
2065,0,0
2168,1008120,71570660
2271,19273032,118448056
2374,40428376,118804956
2477,40545448,118806956
2580,40805608,118811396
2683,41005064,118814800
2786,41122136,118816944
2889,41204520,118818352
2992,41399640,118821532
3095,41594760,118824864
3198,41867928,118829524
3301,42019688,118832116
3404,42306408,127379576
3507,42601256,127384608
3610,42896104,127389640
3713,44307136,225108436
3816,65333812,320505916
3919,128177992,399349920
4022,173787092,478200944
4125,243169104,555667192
4228,324584824,593222504
4331,326167464,593249512
4434,327403224,593271268
4537,328678008,593292360
4640,329922440,593313596
4744,331162536,593335428
4847,332177160,593352152
4950,353953752,644235840
5053,374756944,736348872
5156,397519136,749545240
5259,420486356,787951368
5363,448599208,840673024
5466,473990264,893026604
5569,505753180,926345128
5673,538182676,945841424
5776,570296588,976835116
5879,601953552,1017777780
5982,638045004,1047177964
6086,684936832,1073526796
6189,744950996,1102027824
6292,804696532,1129572060
6396,820147288,1168316044
6499,839198664,1195997616
6602,860416924,1224011584
6705,886921752,1234528772
6809,919024948,1317582816
6912,954159828,1369338076
7015,990743056,1402114884
7118,1028218552,1437202564
7222,1067382984,1478395196
7325,1119646012,1513106816
7428,1177489388,1542050860
7531,1251309788,1543318256
7634,1262220348,1629626380
7737,1294502656,1705119320
7840,1316462116,1774260300
7944,1366777240,1804759612
8047,1440123688,1846474980
8149,1451129576,1964715100
8253,1552638516,2010363480
8356,1591883344,2101802164
8459,1653246264,2187919240
8562,1743630300,2223590844
8665,1812512792,2266595356
8768,1908862672,2282108436
