RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME
100,0,100515,64698.72,1725.506,,,,,,,
100,1,1697,1977.688,0.824,,,,,,,
100,2,532,675.414,0.943,,,,,,,
100,3,1329,1489.588,0.983,,,,,,,
100,4,766,919.960,1.174,,,,,,,
90,0,149457,762386.7,395412.7,42459,676127.1,18318.92,2,60988.63,5405702,
90,1,2192,2885.964,23.491,,,,,,,
90,2,538,766.737,2.707,,,,,,,
90,3,2551,3120.535,6.782,6,88.846,2.878,,,,
90,4,1527,1995.843,4.037,,,,,,,
80,0,164927,889889.6,2290513,50640,794170.5,274590.7,3,97439.77,133880137,
80,1,440,550.385,1.823,,,,,,,
80,2,1267,1877.039,3.441,1,20.241,0.000,,,,
80,3,1943,2562.497,2.911,2,31.564,0.547,,,,
80,4,2307,2939.640,14.430,,,,,,,
70,0,180371,1004630,542374.1,59421,901119.6,202099.4,5,150070.8,12398166,
70,1,1255,1553.106,2.281,,,,,,,
70,2,357,719.449,7.673,3,61.171,50.774,,,,
70,3,953,1191.747,2.738,,,,,,,
70,4,1187,1472.520,2.434,,,,,,,
60,0,173742,1057012,1609833,62989,948379.3,19462.74,5,134016.6,103763106,
60,1,1884,2208.153,1.605,,,,,,,
60,2,250,530.614,3.937,,,,,,,
60,3,1421,1774.818,2.391,,,,,,,
60,4,1308,1609.065,1.950,,,,,,,
50,0,254314,1291237,2108057,73802,1141192,203192.1,6,125251.9,35413724,
50,1,2617,3314.760,7.209,,,,,,,
50,2,863,1268.907,1.798,,,,,,,
50,3,2895,3712.001,4.427,,,,,,,
50,4,1769,2275.601,3.303,,,,,,,
40,0,1280566,3834407,2583514,156930,2737617,299392.4,7,118384.4,30760065,
40,1,4150,5463.612,977.198,,,,,,,
40,2,961,1571.024,6.110,6,100.687,3.861,,,,
40,3,5491,7381.375,536.953,,,,,,,
40,4,3907,5054.062,17.188,,,,,,,
30,0,1382393,5657358,7005130,249119,4087729,966719.2,6,123485.0,12558185,
30,1,7259,7778.558,273.047,6,97.100,15.920,,,,
30,2,1094,1697.250,2.393,,,,,,,
30,3,6024,7777.999,26.734,,,,,,,
30,4,4884,6165.511,27.096,15,236.323,11.955,,,,
20,0,1382414,5638672,3135225,247364,4063913,762815.1,6,94575.30,4495750,
20,1,948,1021.242,2.116,,,,,,,
20,2,370,839.778,3.104,,,,,,,
20,3,7067,10006.88,48.337,24,351.784,3.600,,,,
20,4,4769,5380.741,30.255,,,,,,,
10,0,1509450,6023163,20600751,259318,4302482,687651.7,5,96839.13,364728.5,
10,1,2926,3635.035,5.209,,,,,,,
10,2,544,1170.109,4.934,,,,,,,
10,3,3906,5043.265,11.664,,,,,,,
10,4,1413,1849.343,2.791,,,,,,,
5,0,1897046,7478329,3453378,316041,5193562,1637779,7,98145.20,1985197,
5,1,4784,5713.697,32.839,,,,,,,
5,2,875,1431.531,1.824,,,,,,,
5,3,6832,9472.434,25.625,2,34.322,16.485,,,,
5,4,3179,3831.433,9.930,,,,,,,
