TIME,RECV,XMIT
4,0,0
107,0,0
210,0,0
313,1120092,79482168
417,2708308,186718892
520,12341116,277684460
623,19589224,286086444
726,23977256,286157412
829,33343016,286317252
932,33343016,286317252
1035,43575976,286491892
1138,50915740,286620948
1241,58266344,286742604
1344,67726528,307489600
1448,69070392,314310308
1551,76910156,343788736
1654,91113748,351239980
1757,101177548,356574700
1860,108197532,356690956
1963,118257052,356862636
2066,118257052,356862636
2169,128494348,357037348
2273,135265600,373443284
2376,143498652,381409776
2479,171046836,384120904
2582,173544372,384159164
2685,173544372,384161384
2788,187172420,384395148
2891,195354452,384531384
2994,205060588,384700400
3097,209709768,389249608
3201,209709768,389249608
3304,223324568,394628348
3407,230570264,408439576
3511,244364420,425624052
3614,255119868,425806092
3717,255119868,425806092
3820,265357164,425980808
3924,271921868,426092844
4027,278694044,432844436
4130,294626604,457000784
4233,300320792,462893192
4337,300320792,462893192
4440,313818760,463123552
4543,320556904,463238548
4646,327347080,463358428
4749,335550792,463494440
4852,335550792,463494440
4956,347743624,463706304
5059,358700688,477560984
