TIME,RECV,XMIT
4,0,0
107,0,0
210,1078788,71147364
314,1979836,134322156
417,3596464,246056728
520,16519884,342139536
623,49901840,393567880
726,85267560,427368672
829,113037864,442180632
932,157613684,480673368
1035,207814536,522392380
1139,254060824,549514072
1242,339326676,615463304
1345,427216936,677944564
1448,493874996,727076684
1551,573564436,788810464
1655,639935640,841861200
1758,720458324,912211468
1861,803899304,967644708
1964,869132544,1013128548
2067,944784240,1076921180
2170,1007845020,1129606880
2273,1087723780,1202095760
2376,1169786352,1257820656
2480,1237100924,1304581980
2583,1312465836,1367204700
2686,1377028208,1422178212
2789,1457554752,1493608584
2893,1538709980,1548027128
2996,1603915372,1594932272
3099,1679481112,1658627168
3202,1741191388,1711457812
3305,1818775784,1783557584
3408,1899555740,1841367708
3512,1966299348,1888273652
3615,2042495176,1953667264
3718,2106408536,2006025032
3821,2184110556,2077978440
3924,2263413008,2137535220
4028,2329996252,2184907080
4131,2404307628,2248667564
4234,2468722536,2300129648
4337,2547111736,2371312076
4440,2622748216,2429731072
4544,2694156036,2480158172
4647,2770037556,2540695048
4750,2838679948,2600848984
4853,2929845524,2677309300
4956,2996513196,2730530760
5060,3042635628,2766799572
