TIME,RECV,XMIT
4,0,0
107,0,0
210,0,0
313,0,0
417,0,0
520,0,0
623,0,0
726,0,0
829,0,0
932,0,0
1035,0,0
1139,0,0
1242,0,0
1345,0,0
1448,0,0
1551,0,0
1654,0,0
1758,0,0
1861,0,0
1964,0,0
2067,0,0
2170,0,0
2274,0,0
2377,0,0
2480,0,0
2583,0,0
2686,0,0
2789,0,0
2892,0,0
2996,0,0
3099,0,0
3202,0,0
3305,0,0
3408,0,0
3511,1457684,103170000
3615,3010040,211813440
3718,12925568,312806436
3821,24569872,385704616
3924,62028576,386338648
4027,63910400,386370468
4130,65566752,386398736
4233,67014976,386423452
4336,68480544,386448464
4440,69729312,386469776
4543,70752608,386487240
4646,71851668,416182152
4749,74542408,539189216
4852,92882136,585574360
4955,115438632,628390272
5059,138990088,659923224
5162,163059548,666126748
5265,184875500,727651660
5368,209908632,820636508
5472,233075460,868396160
5575,262456480,881179160
5678,291126424,904981636
5781,324402588,912503220
5884,360929316,928382852
5987,399465584,953238164
6090,431277908,978827464
6193,455757056,989438044
6296,470915040,1023361300
6400,480236188,1037000844
6503,490512256,1050682808
6606,501748212,1066400864
6709,513964792,1082739092
6812,526971760,1098721768
6916,540704088,1115220780
7019,554804116,1132541792
7122,569767972,1147809248
7225,582785352,1216009052
7328,596935604,1270011644
7432,613262504,1289060728
7535,630885716,1296592968
7638,647991700,1315741364
7741,665715488,1338401980
7844,685511276,1355468660
7947,704318060,1384066500
8050,725498284,1406247508
8153,747728252,1423442656
8256,769642844,1439299312
8359,785786348,1445425220
8462,812947052,1445889276
8566,840081740,1446352144
8669,867376860,1446817976
