RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,5.36,0.55,0:05.91,8,470565,-55069935,88
90,5.40,0.54,0:05.94,22,470562,-55071442,852
80,5.41,0.66,0:06.08,487,472520,-55125002,2800
70,5.46,0.72,0:06.19,2514,477772,-55261781,6942
60,5.45,1.32,0:06.78,30880,505975,-55402657,39670
50,5.56,2.03,0:07.60,61458,549313,-55620313,81935
40,5.62,3.08,0:08.72,122039,583500,-55887921,213783
30,5.61,3.93,0:09.58,171491,627750,-56241182,313901
20,5.80,3.98,0:09.84,172052,678070,-56623869,395962
10,5.96,4.82,0:10.91,225803,725443,-57067733,516405
5,6.72,4.68,0:11.53,208480,805448,-57554556,597812
