RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME,LOCK_MINPF_HIT,LOCK_MINPF_TIME,LOCK_MINPF_S2,3PO_PF_HIT,3PO_PF_TIME,3PO_PF_S2,PREFETCH_TIME,SWAP_CACHE_READ_TIME,BUMP_NEXT_FETCH_TIME
100,0,100627,72855.73,993.208,,,,,,,,,,,100627,2876.042,11.394,,,
100,1,2740,3497.595,15.895,,,,,,,,,,,2740,123.241,0.243,,,
100,2,907,1207.810,2.460,,,,,,,,,,,907,38.835,0.000,,,
100,3,1929,2396.746,3.002,,,,,,,,,,,1929,70.099,0.000,,,
100,4,1054,1361.035,1.141,,,,,,,,,,,1054,36.680,0.000,,,
90,0,142185,470671.6,32050057,37983,367275.6,19176.49,1,16014.93,0.000,,41583,1760.548,1004.225,142185,4398.412,24129.35,,12348.75,
90,1,1601,2059.419,0.985,,,,,,,,,,,1601,57.241,0.000,,,
90,2,446,855.683,4.028,,,,,,,,,,,446,29.091,0.001,,,
90,3,3192,3948.016,45.668,,,,,,,,,,,3192,154.934,1.116,,,
90,4,1416,2055.187,1.649,,,,,,,,,,,1416,56.020,0.000,,,
80,0,152799,583834.3,204947.8,50211,472823.0,29424.24,2,36368.49,6798389,,52278,2300.875,3921.624,152799,4614.669,55.935,,16155.71,
80,1,1254,1694.564,2.195,,,,,,,,,,,1254,45.009,0.000,,,
80,2,332,630.406,3.594,,,,,,,,,,,332,24.276,0.002,,,
80,3,853,974.228,1.376,,,,,,,,,,,853,33.186,0.000,,,
80,4,1831,2573.824,1.673,,,,,,,,,,,1831,66.208,0.000,,,
70,0,197245,797217.0,853360.3,73324,656964.9,64479.11,4,66591.93,21365121,,77949,5139.598,1907.468,197245,6031.870,208.224,,24439.33,
70,1,1282,1692.853,1.963,,,,,,,,,,,1282,45.536,0.000,,,
70,2,172,399.984,0.166,,,,,,,,,,,172,17.456,0.002,,,
70,3,3318,4358.321,88.468,,,,,,,,,,,3318,381.460,61.028,,,
70,4,2013,2770.441,1.429,,,,,,,,,,,2013,72.500,0.000,,,
60,0,183084,733278.8,644890.7,70037,591461.0,697293.8,4,66729.86,7156476,,74847,9854.588,4373.389,183084,5762.749,322.332,,23828.94,
60,1,2283,3244.937,13.850,,,,,,,,,,,2283,83.131,0.001,,,
60,2,400,803.458,2.884,5,38.553,3.632,,,,,9,0.328,0.000,400,28.403,0.001,,4.160,
60,3,1978,2536.401,0.908,,,,,,,,,,,1978,71.342,0.000,,,
60,4,1788,2612.684,2.820,,,,,,,,,,,1788,67.187,0.000,,,
50,0,247042,976871.6,836323.5,90768,786021.7,290923.5,4,57808.23,34897244,,110569,17326.93,9813.503,247042,7731.226,200.455,,32990.51,
50,1,1838,2470.046,2.246,,,,,,,,,,,1838,65.885,0.000,,,
50,2,329,598.235,0.620,,,,,,,,,,,329,23.298,0.002,,,
50,3,1398,1944.385,2.864,14,167.598,50.730,,,,,26,1.002,0.000,1398,52.935,0.000,,25.398,
50,4,941,1239.055,2.073,,,,,,,,,,,941,34.240,0.000,,,
40,0,1138264,3377259,6176023,163326,1793893,585055.5,4,65028.18,4739102,,715097,819552.6,2781841,1138264,37013.60,6036.875,,158653.6,
40,1,2970,3986.945,86.350,4,40.326,22.492,,,,,8,0.255,0.000,2970,105.568,0.007,,5.367,
40,2,683,1216.038,2.340,,,,,,,,,,,683,44.546,0.001,,,
40,3,4184,5645.552,119.374,,,,,,,,,,,4184,165.575,0.019,,,
40,4,1156,1702.797,4.018,1,10.039,0.000,,,,,2,0.051,0.001,1156,44.449,0.000,,3.113,
30,0,1382783,4596199,1257754,250494,2601550,2194756,5,78978.78,21837592,,941566,1061605,4041572,1382783,45401.53,10717.96,,231509.8,
30,1,4840,6669.476,29.976,,,,,,,,,,,4840,187.975,0.693,,,
30,2,1493,2152.554,1.899,2,21.740,26.295,,,,,10,4.034,1.294,1493,72.416,0.001,,4.006,
30,3,4850,7192.594,26.351,8,81.991,36.545,,,,,25,1.396,0.007,4850,246.248,1.186,,11.416,
30,4,3008,3824.633,34.093,,,,,,,,,,,3008,122.082,1.480,,,
20,0,1382738,4604840,1405187,251610,2565910,1026319,4,67569.10,7349272,,943592,1098501,223118.9,1382738,44561.13,9984.687,,234868.2,
20,1,1861,2318.800,1.307,,,,,,,,,,,1861,82.204,0.127,,,
20,2,524,1002.838,1.910,,,,,,,,,,,524,41.132,0.002,,,
20,3,7566,9922.081,375.324,,,,,,,,,,,7566,550.804,19.887,,,
20,4,3228,4440.605,11.543,,,,,,,,,,,3228,112.149,0.001,,,
10,0,1442345,4697629,127602003,255933,2621080,1266201,7,72899.58,7607581,,994536,1107796,69308.05,1442345,46281.44,369343.9,,245463.3,
10,1,1765,2268.872,1.400,,,,,,,,,,,1765,64.164,0.000,,,
10,2,493,971.776,0.944,,,,,,,,,,,493,39.804,0.002,,,
10,3,85,108.199,0.410,,,,,,,,,,,85,3.396,0.000,,,
10,4,4263,5748.132,31.929,,,,,,,,,,,4263,151.036,0.003,,,
5,0,1895805,5918024,2819466,319333,3091705,2490844,29,68660.54,392149.4,,1503502,1546540,6275992,1895805,61155.15,13803.32,,364551.3,
5,1,4566,6034.940,19.016,,,,,,,,,,,4566,196.694,0.527,,,
5,2,867,1634.714,4.738,,,,,,,,,,,867,53.756,0.001,,,
5,3,6108,9349.893,31.066,3,36.198,20.458,,,,,10,7.788,5.348,6108,299.322,0.464,,5.349,
5,4,4036,5292.848,9.793,,,,,,,,,,,4036,144.976,0.001,,,
