TIME,RECV,XMIT
4,0,0
107,0,0
210,0,0
313,0,0
416,1771960,122401984
520,12157044,152826232
623,12157044,152826232
726,20720644,152972384
829,20720644,152972384
932,31643708,162487408
1035,31643708,162487408
1138,40402636,173450784
1242,40402636,173450784
1344,50683184,184075312
1448,55282564,188857192
1551,59676796,194521796
1654,64035660,199116916
1757,66125704,201564560
1860,78636620,216303528
1963,84766588,224129872
2066,93523404,234719740
2169,93523404,234719740
2272,105460356,240078532
2375,120494772,255748172
2478,144119588,283537852
2581,169230064,313291176
2684,196334364,338926692
2787,199268008,341232392
2890,202360740,344995616
2994,215210092,358754216
3097,222864384,363844840
3199,234591440,366650744
3302,234591440,366650744
3406,246450400,366853132
3509,254602080,366992252
3612,269552608,367247404
3715,269552608,367247404
3818,278819724,367411908
3921,287052704,367553544
4025,295243408,367693108
4128,304518112,367844140
4231,304518112,367844140
4334,322421456,368149688
