TIME,RECV,XMIT
5,0,0
108,0,0
211,89404,6915648
314,1283588,88772904
417,2884604,194002224
520,18962952,282433076
624,45433024,308545104
727,73560744,338691680
830,112579980,367948336
933,145551520,403830348
1036,189298008,429864372
1140,227422828,457544784
1243,282004164,488445320
1346,335694996,541782408
1449,388724680,592752300
1553,456545584,657595308
1656,524314852,730469800
1760,590816556,791829432
1863,652388540,856961684
1966,717935812,921565096
2070,782176728,997089268
2173,846522952,1057771148
2276,907159136,1121415456
2379,973954240,1187612608
2483,1039996564,1262608520
2586,1104961440,1323545184
2689,1167431616,1387786768
2793,1230892384,1452806588
2896,1293480444,1533411660
2999,1357675400,1593736240
3103,1421195996,1656745080
3206,1484989548,1723294328
3309,1550054496,1799781736
3413,1614130164,1861369576
3516,1677069752,1924734792
3620,1747585664,2001640872
3723,1817543496,2078650652
