TIME,RECV,XMIT
4,0,0
107,0,0
210,607764,41142392
314,1712916,117499060
417,3070096,211125292
520,28512464,337180300
624,126704752,422519960
727,226901696,520596368
830,332842960,614989524
933,446960020,707097872
1036,562467760,801510328
1140,667547476,891954600
1243,778508544,981901328
1346,895525388,1077641100
1449,995018464,1160288540
1552,1103777496,1252380676
1655,1222061828,1349084748
1759,1324674440,1432103268
1862,1429792900,1529583488
1965,1548709268,1621324864
2068,1655509988,1704425160
2171,1760030540,1800930628
2274,1878143172,1892889088
2377,1990908400,1978416524
2480,2091122256,2071666076
2583,2207970792,2163421888
2686,2323095340,2259590484
2790,2424879408,2341675092
2893,2539836356,2434896096
2996,2657657324,2532865600
3099,2762517464,2622124644
3203,2841310536,2701203568
3306,2955993256,2782687276
