RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME,LOCK_MINPF_HIT,LOCK_MINPF_TIME,LOCK_MINPF_S2,3PO_PF_HIT,3PO_PF_TIME,3PO_PF_S2,PREFETCH_TIME,SWAP_CACHE_READ_TIME,BUMP_NEXT_FETCH_TIME
100,0,1048711,3257961,31477.34,115176,2313045,1030178,,,,,537687,189469.5,768850.8,1048711,32353.16,3335.402,,148511.9,
100,1,2013,2510.770,0.955,,,,,,,,,,,2013,69.042,0.000,,,
100,2,679,962.572,0.489,,,,,,,,,,,679,36.841,0.001,,,
100,3,3384,4952.086,7.676,,,,,,,,,,,3384,149.391,0.001,,,
100,4,2116,2605.037,37.433,,,,,,,,,,,2116,72.057,0.005,,,
90,0,1048935,3153545,34805572,119271,2235138,4813916,,,,,535564,158494.8,1435771,1048935,32361.89,18604.17,,144944.0,
90,1,2165,2841.094,32.223,,,,,,,,,,,2165,76.988,0.002,,,
90,2,415,790.676,3.568,,,,,,,,,,,415,44.541,0.546,,,
90,3,1593,2568.456,4.094,,,,,,,,,,,1593,89.664,0.143,,,
90,4,970,1283.282,1.893,,,,,,,,,,,970,36.452,0.000,,,
80,0,1048965,3290512,2007169,139983,2418028,1915537,,,,,532558,89695.99,240090.2,1048965,32624.36,2417.184,,162472.2,
80,1,2222,3094.921,19.272,3,45.475,157.760,,,,,13,0.526,0.001,2222,78.576,0.001,,4.949,
80,2,924,1438.600,2.730,,,,,,,,,,,924,47.767,0.001,,,
80,3,4208,6114.975,53.872,,,,,,,,,,,4208,186.233,0.011,,,
80,4,2424,3201.496,8.298,,,,,,,,,,,2424,87.773,0.000,,,
70,0,1049052,3162892,5203293,129927,2276368,1520328,,,,,533192,104295.9,1719803,1049052,32843.91,51669.29,,156456.7,
70,1,2747,3823.176,6.531,,,,,,,,,,,2747,98.364,0.000,,,
70,2,884,1366.506,2.664,1,17.400,0.000,,,,,7,0.294,0.000,884,45.707,0.001,,3.239,
70,3,3260,5113.272,82.405,,,,,,,,,,,3260,148.469,0.001,,,
70,4,2184,3098.436,37.017,,,,,,,,,,,2184,108.007,2.194,,,
60,0,1048921,3509848,13880380,217341,2679687,5203865,,,,,528688,64531.74,350162.7,1048921,32018.79,8331.432,,161410.0,
60,1,1624,2194.796,1.982,,,,,,,,,,,1624,78.104,0.170,,,
60,2,886,1386.374,3.542,,,,,,,,,,,886,77.559,0.579,,,
60,3,2973,4564.980,109.079,,,,,,,,,,,2973,137.400,0.010,,,
60,4,2124,2843.258,56.508,2,35.755,81.932,,,,,8,0.343,0.000,2124,75.937,0.005,,3.586,
50,0,1048814,3699822,1696463,268560,2894857,1557102,,,,,526871,29104.50,484748.0,1048814,33357.99,2407.534,,159028.0,
50,1,2346,3099.480,9.341,,,,,,,,,,,2346,85.731,0.001,,,
50,2,950,1685.285,3.520,,,,,,,,,,,950,74.281,0.284,,,
50,3,3470,5126.176,9.882,,,,,,,,,,,3470,155.864,0.001,,,
50,4,1535,2022.621,2.021,,,,,,,,,,,1535,60.826,0.000,,,
40,0,1048875,2878350,2577533,131120,2008494,486400.3,,,,,529130,62669.46,296221.7,1048875,34628.69,30996.28,,156745.3,
40,1,2276,3263.939,14.506,,,,,,,,,,,2276,97.818,0.627,,,
40,2,704,1235.225,4.174,,,,,,,,,,,704,39.124,0.001,,,
40,3,2961,4513.555,116.223,,,,,,,,,,,2961,141.124,0.596,,,
40,4,2621,3364.987,5.203,,,,,,,,,,,2621,100.247,0.032,,,
30,0,1048808,2828481,19561118,135704,1922179,613300.3,,,,,535865,94429.18,386224.1,1048808,33222.51,276477.3,,154418.9,
30,1,1272,2079.175,44.273,4,34.348,10.208,,,,,7,0.218,0.000,1272,51.229,0.000,,3.649,
30,2,475,881.909,4.043,,,,,,,,,,,475,31.483,0.002,,,
30,3,1315,2032.823,4.371,,,,,,,,,,,1315,56.002,0.000,,,
30,4,299,416.709,2.015,,,,,,,,,,,299,10.393,0.000,,,
20,0,1048814,2755717,4065302,147105,1913486,998792.1,,,,,527076,35529.66,161683.7,1048814,32785.08,3084.223,,156823.2,
20,1,752,1003.360,1.889,1,13.363,0.000,,,,,7,0.267,0.000,752,27.975,0.000,,3.287,
20,2,447,812.865,2.376,,,,,,,,,,,447,30.358,0.002,,,
20,3,226,294.390,0.412,,,,,,,,,,,226,9.173,0.000,,,
20,4,2379,3015.415,7.917,,,,,,,,,,,2379,84.529,0.000,,,
10,0,1048852,2803987,5722202,169119,1971430,1972179,,,,,526380,25396.18,35013.35,1048852,32837.25,4559.119,,155857.7,
10,1,1536,2195.124,2.866,7,55.589,5.675,,,,,9,0.291,0.000,1536,58.203,0.000,,4.911,
10,2,392,808.411,3.930,,,,,,,,,,,392,29.717,0.002,,,
10,3,2198,3078.107,10.471,,,,,,,,,,,2198,94.191,0.002,,,
10,4,649,914.456,1.856,,,,,,,,,,,649,24.324,0.000,,,
5,0,1048816,2596811,2633219,142546,1749220,305587.0,,,,,529340,42309.34,101994.6,1048816,33364.32,3326.752,,157147.4,
5,1,1438,1819.735,1.117,,,,,,,,,,,1438,53.384,0.000,,,
5,2,366,712.415,2.206,,,,,,,,,,,366,28.641,0.002,,,
5,3,944,1476.898,2.101,,,,,,,,,,,944,45.282,0.000,,,
5,4,4596,5756.551,42.362,,,,,,,,,,,4596,223.475,0.590,,,
