TIME,RECV,XMIT
4,0,0
107,0,0
211,0,0
314,0,0
417,0,0
520,0,0
623,0,0
726,0,0
829,0,0
933,0,0
1036,0,0
1139,0,0
1242,305536,21936120
1346,1655336,115402704
1449,2916416,201683232
1553,4151892,286666004
1656,5380112,371430476
1759,6609448,455746416
1862,7826072,538983980
1966,9038048,622628784
2069,10197884,702672408
2173,11354184,782038388
2276,12523440,862308984
2379,13694436,942413424
2483,14860532,1023180336
2586,16026628,1103006760
2689,17178588,1182432456
2793,49708552,1238320324
2896,94177048,1285504860
2999,138638620,1332576624
3102,183045884,1379326244
3205,227891196,1426021688
3308,272321864,1471347088
3411,316993744,1518216660
3514,361594884,1564405704
3617,406013728,1610770188
3719,450507772,1657412096
3822,495106184,1703647816
3925,543173432,1739109760
4028,592564624,1770510788
4132,642254748,1802101864
4235,687102408,1847850928
4338,731297472,1895539568
4441,774638924,1945910596
4544,818064776,1995710476
4647,861619340,2044867200
4750,911206268,2101795620
4853,978970528,2178469124
4956,1047347244,2252578480
5059,1128805184,2296668956
5162,1228211236,2298366072
5266,1328108340,2300071108
5369,1426366436,2301748316
5472,1524360036,2303419976
5575,1624205108,2305124196
5678,1724314676,2306832784
5781,1823903924,2308532044
5884,1923369596,2310228864
5987,2021754516,2311908072
6090,2120663012,2313618176
6193,2220813000,2315328020
6296,2306570408,2316777460
