RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME,LOCK_MINPF_HIT,LOCK_MINPF_TIME,LOCK_MINPF_S2,3PO_PF_HIT,3PO_PF_TIME,3PO_PF_S2,PREFETCH_TIME,SWAP_CACHE_READ_TIME,BUMP_NEXT_FETCH_TIME
100,0,1446013,1320767,1251904,,,,,,,222311.5,,,,1446013,338678.5,906295.5,143349.7,,603.329
100,1,2576,3460.212,5.101,,,,,,,,,,,2576,87.623,0.000,,,
100,2,509,850.146,0.750,,,,,,,,,,,509,31.375,0.002,,,
100,3,2313,3202.357,17.690,,,,,,,,,,,2313,95.249,0.489,,,
100,4,1315,1837.610,3.541,,,,,,,,,,,1315,47.481,0.001,,,
90,0,1451864,1371331,2102993,3225,22506.85,15.249,3,38249.97,13347747,222904.7,3225,99.324,0.000,1451864,340943.2,1570896,144000.8,1164.769,1061.549
90,1,1009,1348.639,1.937,,,,,,,,,,,1009,36.963,0.000,,,
90,2,727,1162.228,1.875,,,,,,,,,,,727,38.443,0.001,,,
90,3,2090,2946.049,189.978,,,,,,,,,,,2090,73.542,0.014,,,
90,4,2212,2955.952,14.570,,,,,,,,,,,2212,78.907,0.005,,,
80,0,1452080,1398011,2648844,3225,22366.24,10.534,11,161800.5,27685622,228471.1,3225,98.668,0.000,1452080,347779.8,2048327,146125.6,1162.718,1621.739
80,1,979,1379.541,3.456,,,,,,,,,,,979,36.323,0.001,,,
80,2,423,825.905,2.139,,,,,,,,,,,423,31.248,0.002,,,
80,3,,,,,,,,,,,,,,,,,,,
80,4,2189,3084.536,17.650,,,,,,,,,,,2189,78.673,0.004,,,
70,0,1600537,2178255,17462002,57951,523524.0,50753.32,28,464683.3,28803113,334727.3,68560,48858.15,246410.7,1600537,471043.0,10540569,243450.1,52419.83,1430.056
70,1,2967,3950.167,73.717,,,,,,,,,,,2967,102.608,0.010,,,
70,2,868,1309.971,1.323,,,,,,,,,,,868,47.060,0.001,,,
70,3,4158,6086.226,288.203,,,,,,,,,,,4158,178.851,0.064,,,
