TIME,RECV,XMIT
4,0,0
107,0,0
210,538472,37271520
313,1145700,79638552
417,1761172,122027304
520,2370756,164728824
623,2982264,206761368
726,3581928,248730932
830,4193248,291260856
933,4809092,333723456
1036,5422892,376133928
1139,6025904,417845016
1243,6633320,460203360
1346,7245072,502660532
1449,7850068,544939604
1553,8468332,586996032
1656,9081452,629649768
1759,9688244,671973360
1862,10305704,714362112
1966,10913116,756778024
2069,11526668,799413288
2172,12132036,841398048
2276,12739576,883704264
2379,13348476,925888848
2482,13962464,968164656
2586,14577812,1010770608
2689,15182064,1052849852
2792,22080688,1094520612
2896,80856120,1152255488
2999,159210460,1231501872
3102,237903248,1310734836
3206,316840836,1389833932
3309,395561132,1469433884
3413,474207088,1548267152
3516,552835056,1627601492
3620,631786740,1706722804
3723,710841680,1786413044
3827,790112312,1865873268
3930,868937256,1945079412
4033,947588204,2024407244
4137,1026364348,2103618180
4240,1105808072,2183265808
4343,1162558472,2240674292
4447,1231597456,2310808668
4550,1301146456,2380921068
4653,1370794648,2451007516
4757,1440420112,2521213304
4860,1509888628,2590510344
4963,1579394728,2660431760
5066,1649037904,2730589440
5170,1719065128,2800901880
5273,1788530156,2870727620
5377,1858667756,2941724540
5480,1934159660,3019471312
5583,2029439288,3115083072
5686,2124162480,3210784072
5789,2218414112,3303122764
5892,2246090328,3331605840
5995,2246523928,3331613240
6098,2246523928,3331613240
6201,2246523928,3331613240
6304,2247836136,3332911116
6407,2307996724,3394482900
6510,2377395824,3464300172
6614,2446791036,3533693276
6717,2516433544,3604278308
6820,2583796116,3671790164
6924,2659704848,3748648160
7027,2727844356,3818688716
7130,2791851820,3882471296
7233,2791851820,3882471296
7336,2813364384,3903305880
7440,2881724232,3973289160
7543,2894522848,3986532212
7645,2894522848,3986532212
7748,2894522848,3986532212
7851,2894522848,3986532212
7954,2894522848,3986532212
8057,2942638032,4035365652
8160,2947362976,4040479752
8263,2947362976,4040479752
8366,2947362976,4040479752
8468,2947362976,4040479752
8571,2947362976,4040479752
8674,2957468708,4051520460
8777,2959698860,4053371948
8880,2959698860,4053371948
8983,3010429372,4105451120
9086,3016605388,4112457684
9189,3016605388,4112457684
9292,3016605388,4112457684
9395,3016605388,4112457684
9497,3016605388,4112457684
9600,3016605388,4112457684
9703,3017335640,4113204104
9806,3062934460,4159940624
9910,3136915392,4234670092
10013,3204899784,4303154688
10116,3272739312,4371695720
10220,3317129140,4417920108
10323,3323969880,4423279304
10425,3323969880,4423279304
10528,3323969880,4423279304
10631,3323969880,4423279304
10734,3335719352,4436302740
10837,3349433252,4451000968
10940,3349433252,4451000968
11043,3349437588,4451001040
11145,3349437588,4451001040
11249,3382373920,4484667776
11352,3386331184,4487882084
11455,3386331184,4487882084
11558,3386331184,4487882084
11660,3386331184,4487882084
11763,3386331184,4487882084
11866,3453154516,4556674240
11969,3454731112,4557864796
12072,3454731112,4557864796
12174,3454744120,4558319996
12277,3484199576,4589897960
12380,3484199576,4589897960
12483,3484199576,4589897960
12586,3484199576,4589897960
12689,3484199576,4589897960
12792,3484199576,4589897960
12895,3540649740,4648378008
12998,3636126876,4744773356
13101,3730851656,4840055868
13204,3825827108,4935614616
13308,3906457916,5015005204
13411,3982477236,5092490272
13515,4068177160,5178716840
13618,4153756336,5265169104
13722,4231240808,5341978172
13825,4288958068,5400675684
13928,4288958068,5400675684
14030,4288958068,5400675684
14133,4295656584,5407330692
14237,4339583540,5453473568
14340,4339587876,5453473640
14443,4339587876,5453473640
14546,4339587876,5453473640
14648,4339587876,5453473640
14751,4339587876,5453473640
14854,4339587876,5453473640
14957,4349666664,5463408636
15059,4349666664,5463408636
15163,4409992096,5527241836
15266,4504779000,5622579456
15369,4600370140,5719074916
15472,4624690132,5741620796
15575,4624690132,5741620796
15678,4660985492,5778712032
15781,4732169836,5850954788
15884,4803842560,5922679056
15987,4867020844,5985738104
16091,4934634816,6054679544
16194,4963977988,6083153820
16297,4963977988,6083153820
16400,4964757248,6084587260
16502,4964757248,6084587260
16605,4964757248,6084587260
16708,4964757248,6084587260
16811,5003652872,6124619528
16914,5025266316,6147186636
17017,5025266316,6147186636
17120,5025266316,6147186636
17223,5025266316,6147186636
17326,5033501272,6155359292
17429,5040993984,6162855380
17532,5040993984,6162855380
17635,5040993984,6162855380
17738,5040993984,6162855380
17841,5129645952,6254873032
17944,5195517336,6319003056
18047,5195517336,6319003056
18150,5214412120,6338672488
18253,5281503956,6407266296
18357,5343841708,6468650396
18459,5343846044,6468650468
18562,5343846044,6468650468
18665,5348605188,6474334076
18768,5348605188,6474334076
18871,5348605188,6474334076
18974,5348605188,6474334076
19076,5348605188,6474334076
19180,5392398228,6519136420
19283,5436507432,6563602564
19386,5436507432,6563602564
19488,5436507432,6563602564
19591,5436507432,6563602564
19694,5436507432,6563602564
19797,5474295896,6603052380
19900,5474295896,6603052380
20003,5474295896,6603052380
20105,5474295896,6603052380
20208,5480146540,6609304524
20311,5481410568,6610595860
20414,5481410568,6610595860
20517,5519747600,6649539700
20620,5568426576,6698863536
20723,5568426576,6698863536
20826,5568426576,6698863536
20929,5568552320,6698865680
21032,5568552320,6698865680
21135,5568552320,6698865680
21238,5568552320,6698865680
21341,5587460360,6718193448
21444,5587460360,6718193448
21546,5587460360,6718193448
21650,5627085948,6760719360
21753,5721529352,6855784380
21856,5816720740,6952037824
21959,5911547100,7046459744
22063,5982822344,7117662408
22166,6061347888,7196598560
22269,6141780608,7278719792
22373,6222219696,7358487732
22476,6306448664,7445564692
22579,6327859784,7465081908
22682,6381109544,7519515968
22785,6406739332,7545175004
22888,6406739332,7545175004
22991,6406739332,7545175004
23093,6406739332,7545175004
23196,6406739332,7545175004
23299,6406739332,7545175004
23402,6441620580,7580896760
23505,6441620580,7580896760
23608,6441620580,7580896760
23710,6441620580,7580896760
23813,6441620580,7580896760
23916,6441620580,7580896760
24019,6457160236,7597178384
24123,6549823608,7691270460
24226,6643260112,7784504784
24329,6698322716,7839564444
24432,6698322716,7839564444
24535,6700059248,7841539712
24638,6700059248,7841539712
24741,6700059248,7841539712
24844,6700059248,7841539712
24947,6723248140,7867663564
25050,6818483656,7963630336
25153,6889478164,8032791604
25257,6957474392,8102113804
25360,7025157580,8170258500
25463,7031380988,8178065420
25566,7039001784,8185830564
25669,7062127616,8209104364
25772,7062127616,8209104364
